nodes	percent_of_prediction	percent_of_DWPC	metapath
Hydroxocobalamin—MMAA—hindbrain—Parkinson's disease	0.0182	0.0647	CbGeAlD
Hydroxocobalamin—Cyanocobalamin—MTHFR—Parkinson's disease	0.015	1	CrCbGaD
Hydroxocobalamin—MMAA—brainstem—Parkinson's disease	0.0104	0.0371	CbGeAlD
Hydroxocobalamin—MMACHC—head—Parkinson's disease	0.00878	0.0313	CbGeAlD
Hydroxocobalamin—MMACHC—nervous system—Parkinson's disease	0.00832	0.0297	CbGeAlD
Hydroxocobalamin—MMACHC—central nervous system—Parkinson's disease	0.00801	0.0286	CbGeAlD
Hydroxocobalamin—MMAB—medulla oblongata—Parkinson's disease	0.00681	0.0243	CbGeAlD
Hydroxocobalamin—MUT—forebrain—Parkinson's disease	0.00676	0.0241	CbGeAlD
Hydroxocobalamin—AMN—cerebellum—Parkinson's disease	0.00645	0.023	CbGeAlD
Hydroxocobalamin—MMACHC—brain—Parkinson's disease	0.00636	0.0227	CbGeAlD
Hydroxocobalamin—MMAB—midbrain—Parkinson's disease	0.00622	0.0222	CbGeAlD
Hydroxocobalamin—MMAA—head—Parkinson's disease	0.00575	0.0205	CbGeAlD
Hydroxocobalamin—MUT—cardiovascular system—Parkinson's disease	0.00571	0.0204	CbGeAlD
Hydroxocobalamin—TCN1—head—Parkinson's disease	0.00548	0.0195	CbGeAlD
Hydroxocobalamin—MMAA—nervous system—Parkinson's disease	0.00545	0.0194	CbGeAlD
Hydroxocobalamin—MMAB—head—Parkinson's disease	0.00539	0.0192	CbGeAlD
Hydroxocobalamin—MMAA—central nervous system—Parkinson's disease	0.00525	0.0187	CbGeAlD
Hydroxocobalamin—AMN—brain—Parkinson's disease	0.00524	0.0187	CbGeAlD
Hydroxocobalamin—MMAA—cerebellum—Parkinson's disease	0.00513	0.0183	CbGeAlD
Hydroxocobalamin—MMAB—nervous system—Parkinson's disease	0.00511	0.0182	CbGeAlD
Hydroxocobalamin—CASP9—head—Parkinson's disease	0.00504	0.018	CbGeAlD
Hydroxocobalamin—MMAB—central nervous system—Parkinson's disease	0.00492	0.0176	CbGeAlD
Hydroxocobalamin—TCN2—head—Parkinson's disease	0.00492	0.0175	CbGeAlD
Hydroxocobalamin—MUT—medulla oblongata—Parkinson's disease	0.00488	0.0174	CbGeAlD
Hydroxocobalamin—MMAB—cerebellum—Parkinson's disease	0.00481	0.0172	CbGeAlD
Hydroxocobalamin—CASP9—nervous system—Parkinson's disease	0.00478	0.017	CbGeAlD
Hydroxocobalamin—TCN2—nervous system—Parkinson's disease	0.00466	0.0166	CbGeAlD
Hydroxocobalamin—CASP9—central nervous system—Parkinson's disease	0.0046	0.0164	CbGeAlD
Hydroxocobalamin—CASP9—cerebellum—Parkinson's disease	0.0045	0.016	CbGeAlD
Hydroxocobalamin—TCN2—central nervous system—Parkinson's disease	0.00449	0.016	CbGeAlD
Hydroxocobalamin—MTR—cardiovascular system—Parkinson's disease	0.00448	0.016	CbGeAlD
Hydroxocobalamin—MUT—midbrain—Parkinson's disease	0.00446	0.0159	CbGeAlD
Hydroxocobalamin—MTRR—medulla oblongata—Parkinson's disease	0.00439	0.0156	CbGeAlD
Hydroxocobalamin—MUT—spinal cord—Parkinson's disease	0.00435	0.0155	CbGeAlD
Hydroxocobalamin—MMAA—brain—Parkinson's disease	0.00417	0.0149	CbGeAlD
Hydroxocobalamin—MTRR—midbrain—Parkinson's disease	0.00401	0.0143	CbGeAlD
Hydroxocobalamin—MTRR—spinal cord—Parkinson's disease	0.00391	0.0139	CbGeAlD
Hydroxocobalamin—MMAB—brain—Parkinson's disease	0.00391	0.0139	CbGeAlD
Hydroxocobalamin—MUT—head—Parkinson's disease	0.00387	0.0138	CbGeAlD
Hydroxocobalamin—MTR—medulla oblongata—Parkinson's disease	0.00383	0.0136	CbGeAlD
Hydroxocobalamin—MUT—nervous system—Parkinson's disease	0.00367	0.0131	CbGeAlD
Hydroxocobalamin—CASP9—brain—Parkinson's disease	0.00365	0.013	CbGeAlD
Hydroxocobalamin—TCN2—brain—Parkinson's disease	0.00357	0.0127	CbGeAlD
Hydroxocobalamin—MUT—central nervous system—Parkinson's disease	0.00353	0.0126	CbGeAlD
Hydroxocobalamin—MTR—midbrain—Parkinson's disease	0.0035	0.0125	CbGeAlD
Hydroxocobalamin—MTRR—head—Parkinson's disease	0.00348	0.0124	CbGeAlD
Hydroxocobalamin—MUT—cerebellum—Parkinson's disease	0.00345	0.0123	CbGeAlD
Hydroxocobalamin—MTR—spinal cord—Parkinson's disease	0.00341	0.0122	CbGeAlD
Hydroxocobalamin—MTRR—nervous system—Parkinson's disease	0.0033	0.0118	CbGeAlD
Hydroxocobalamin—MTRR—central nervous system—Parkinson's disease	0.00317	0.0113	CbGeAlD
Hydroxocobalamin—MTRR—cerebellum—Parkinson's disease	0.0031	0.0111	CbGeAlD
Hydroxocobalamin—MTR—head—Parkinson's disease	0.00303	0.0108	CbGeAlD
Hydroxocobalamin—MTR—nervous system—Parkinson's disease	0.00287	0.0102	CbGeAlD
Hydroxocobalamin—MUT—brain—Parkinson's disease	0.0028	0.00999	CbGeAlD
Hydroxocobalamin—MTR—central nervous system—Parkinson's disease	0.00277	0.00987	CbGeAlD
