nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Methionine—MTR—hematologic cancer	0.494	0.745	CbGaD
L-Methionine—MTHFR—hematologic cancer	0.169	0.255	CbGaD
L-Methionine—MAT1A—hematopoietic system—hematologic cancer	0.00635	0.0512	CbGeAlD
L-Methionine—MAT1A—testis—hematologic cancer	0.00348	0.0281	CbGeAlD
L-Methionine—BHMT—lung—hematologic cancer	0.00304	0.0245	CbGeAlD
L-Methionine—MSRB1—hematopoietic system—hematologic cancer	0.00303	0.0244	CbGeAlD
L-Methionine—MARS—hematopoietic system—hematologic cancer	0.00294	0.0237	CbGeAlD
L-Methionine—MARS2—blood—hematologic cancer	0.00292	0.0235	CbGeAlD
L-Methionine—MARS2—testis—hematologic cancer	0.00241	0.0194	CbGeAlD
L-Methionine—MARS—gonad—hematologic cancer	0.00223	0.018	CbGeAlD
L-Methionine—METAP2—hematopoietic system—hematologic cancer	0.00219	0.0177	CbGeAlD
L-Methionine—MSRA—blood—hematologic cancer	0.00219	0.0176	CbGeAlD
L-Methionine—MSRA—bone marrow—hematologic cancer	0.00212	0.0171	CbGeAlD
L-Methionine—MAT2A—hematopoietic system—hematologic cancer	0.00209	0.0169	CbGeAlD
L-Methionine—MAT2B—blood—hematologic cancer	0.00207	0.0167	CbGeAlD
L-Methionine—MSRB2—blood—hematologic cancer	0.00204	0.0164	CbGeAlD
L-Methionine—MSRB1—blood—hematologic cancer	0.00201	0.0162	CbGeAlD
L-Methionine—MAT2B—bone marrow—hematologic cancer	0.002	0.0162	CbGeAlD
L-Methionine—MSRB2—bone marrow—hematologic cancer	0.00197	0.0159	CbGeAlD
L-Methionine—MARS—blood—hematologic cancer	0.00195	0.0157	CbGeAlD
L-Methionine—MSRB1—bone marrow—hematologic cancer	0.00194	0.0156	CbGeAlD
L-Methionine—MSRA—lung—hematologic cancer	0.00192	0.0155	CbGeAlD
L-Methionine—MTRR—hematopoietic system—hematologic cancer	0.00191	0.0154	CbGeAlD
L-Methionine—MARS—bone marrow—hematologic cancer	0.00188	0.0152	CbGeAlD
L-Methionine—MAT2B—lung—hematologic cancer	0.00182	0.0146	CbGeAlD
L-Methionine—MSRA—testis—hematologic cancer	0.00181	0.0146	CbGeAlD
L-Methionine—MSRB2—lung—hematologic cancer	0.00179	0.0144	CbGeAlD
L-Methionine—MSRB1—lung—hematologic cancer	0.00176	0.0142	CbGeAlD
L-Methionine—MARS2—lymph node—hematologic cancer	0.00175	0.0141	CbGeAlD
L-Methionine—MAT2B—testis—hematologic cancer	0.00171	0.0138	CbGeAlD
L-Methionine—MARS—lung—hematologic cancer	0.00171	0.0137	CbGeAlD
L-Methionine—MSRB2—testis—hematologic cancer	0.00169	0.0136	CbGeAlD
L-Methionine—METAP2—gonad—hematologic cancer	0.00167	0.0134	CbGeAlD
L-Methionine—MTR—hematopoietic system—hematologic cancer	0.00166	0.0134	CbGeAlD
L-Methionine—MSRB1—testis—hematologic cancer	0.00166	0.0134	CbGeAlD
L-Methionine—MARS—testis—hematologic cancer	0.00161	0.013	CbGeAlD
L-Methionine—MAT2A—gonad—hematologic cancer	0.00159	0.0128	CbGeAlD
L-Methionine—GLUL—hematopoietic system—hematologic cancer	0.00151	0.0121	CbGeAlD
L-Methionine—MTHFR—hematopoietic system—hematologic cancer	0.00146	0.0118	CbGeAlD
L-Methionine—METAP2—blood—hematologic cancer	0.00145	0.0117	CbGeAlD
L-Methionine—MTRR—gonad—hematologic cancer	0.00145	0.0117	CbGeAlD
L-Methionine—METAP2—bone marrow—hematologic cancer	0.00141	0.0113	CbGeAlD
L-Methionine—MAT2A—blood—hematologic cancer	0.00139	0.0112	CbGeAlD
L-Methionine—MAT2A—bone marrow—hematologic cancer	0.00134	0.0108	CbGeAlD
L-Methionine—MSRA—lymph node—hematologic cancer	0.00131	0.0106	CbGeAlD
L-Methionine—L-Aspartic Acid—LYZ—hematologic cancer	0.0013	0.185	CrCbGaD
L-Methionine—METAP2—lung—hematologic cancer	0.00127	0.0103	CbGeAlD
L-Methionine—MTR—gonad—hematologic cancer	0.00126	0.0102	CbGeAlD
L-Methionine—MTRR—blood—hematologic cancer	0.00126	0.0102	CbGeAlD
L-Methionine—MAT2B—lymph node—hematologic cancer	0.00124	0.01	CbGeAlD
L-Methionine—L-Asparagine—ASNS—hematologic cancer	0.00123	0.175	CrCbGaD
L-Methionine—MTRR—bone marrow—hematologic cancer	0.00122	0.00985	CbGeAlD
L-Methionine—MSRB2—lymph node—hematologic cancer	0.00122	0.00985	CbGeAlD
L-Methionine—MAT2A—lung—hematologic cancer	0.00122	0.00981	CbGeAlD
L-Methionine—METAP2—testis—hematologic cancer	0.0012	0.00969	CbGeAlD
L-Methionine—MSRB1—lymph node—hematologic cancer	0.0012	0.00969	CbGeAlD
L-Methionine—MARS—lymph node—hematologic cancer	0.00117	0.0094	CbGeAlD
L-Methionine—L-Glutamine—GMPS—hematologic cancer	0.00116	0.165	CrCbGaD
L-Methionine—L-Glutamine—TGM6—hematologic cancer	0.00116	0.165	CrCbGaD
L-Methionine—SLC16A10—hematopoietic system—hematologic cancer	0.00115	0.00926	CbGeAlD
L-Methionine—MAT2A—testis—hematologic cancer	0.00115	0.00925	CbGeAlD
L-Methionine—GLUL—gonad—hematologic cancer	0.00115	0.00923	CbGeAlD
