nodes	percent_of_prediction	percent_of_DWPC	metapath
Protriptyline—CYP2D6—Codeine and Morphine Metabolism—UGT1A1—anemia	0.0226	0.0279	CbGpPWpGaD
Protriptyline—SLC6A4—Circadian rythm related genes—PRKCDBP—anemia	0.0215	0.0264	CbGpPWpGaD
Protriptyline—CYP2D6—Oxidation by Cytochrome P450—CYB5R2—anemia	0.0199	0.0245	CbGpPWpGaD
Protriptyline—CYP2D6—Oxidation by Cytochrome P450—CYB5R1—anemia	0.0199	0.0245	CbGpPWpGaD
Protriptyline—SLC6A2—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—RHCG—anemia	0.0174	0.0214	CbGpPWpGaD
Protriptyline—SLC6A4—blood plasma—anemia	0.017	0.126	CbGeAlD
Protriptyline—ABCB1—ABC-family proteins mediated transport—ABCB7—anemia	0.0169	0.0208	CbGpPWpGaD
Protriptyline—CYP2D6—urine—anemia	0.0157	0.116	CbGeAlD
Protriptyline—SLC6A2—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—RHAG—anemia	0.0152	0.0187	CbGpPWpGaD
Protriptyline—ABCB1—Imatinib Resistance in Chronic Myeloid Leukemia—BCL11A—anemia	0.0144	0.0178	CbGpPWpGaD
Protriptyline—SLC6A4—Serotonin Transporter Activity—IL1B—anemia	0.0136	0.0167	CbGpPWpGaD
Protriptyline—ABCB1—ABC-family proteins mediated transport—ABCG4—anemia	0.0134	0.0164	CbGpPWpGaD
Protriptyline—CYP2D6—Oxidation by Cytochrome P450—CYB5R4—anemia	0.0128	0.0158	CbGpPWpGaD
Protriptyline—Duloxetine—CYP1A2—anemia	0.0123	0.232	CrCbGaD
Protriptyline—Cyclobenzaprine—CYP1A2—anemia	0.011	0.207	CrCbGaD
Protriptyline—SLC6A2—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—SLC11A2—anemia	0.0109	0.0134	CbGpPWpGaD
