nodes	percent_of_prediction	percent_of_DWPC	metapath
Erlotinib—CYP1A2—schizophrenia	0.271	0.43	CbGaD
Erlotinib—CYP2D6—schizophrenia	0.209	0.332	CbGaD
Erlotinib—ABCB1—schizophrenia	0.149	0.237	CbGaD
Erlotinib—UGT1A1—urine—schizophrenia	0.00465	0.0296	CbGeAlD
Erlotinib—FLT3—blood plasma—schizophrenia	0.00384	0.0245	CbGeAlD
Erlotinib—Vandetanib—ERBB3—schizophrenia	0.00303	0.442	CrCbGaD
Erlotinib—Gefitinib—ERBB3—schizophrenia	0.00288	0.42	CrCbGaD
Erlotinib—HIPK4—gonad—schizophrenia	0.00259	0.0165	CbGeAlD
Erlotinib—STK10—blood plasma—schizophrenia	0.00257	0.0164	CbGeAlD
Erlotinib—UGT1A1—blood plasma—schizophrenia	0.00243	0.0155	CbGeAlD
Erlotinib—AURKC—gonad—schizophrenia	0.00221	0.0141	CbGeAlD
Erlotinib—CYP1A2—urine—schizophrenia	0.00206	0.0131	CbGeAlD
Erlotinib—EPHA6—gonad—schizophrenia	0.00205	0.0131	CbGeAlD
Erlotinib—HIPK4—endocrine gland—schizophrenia	0.00196	0.0125	CbGeAlD
Erlotinib—NR1I2—endocrine gland—schizophrenia	0.00194	0.0123	CbGeAlD
Erlotinib—ULK3—forebrain—schizophrenia	0.00182	0.0116	CbGeAlD
Erlotinib—EGFR—telencephalon—schizophrenia	0.0018	0.0115	CbGeAlD
Erlotinib—JAK3—blood—schizophrenia	0.00178	0.0114	CbGeAlD
Erlotinib—PIP4K2C—telencephalon—schizophrenia	0.00175	0.0111	CbGeAlD
Erlotinib—AURKC—endocrine gland—schizophrenia	0.00167	0.0107	CbGeAlD
Erlotinib—ULK3—telencephalon—schizophrenia	0.00167	0.0106	CbGeAlD
Erlotinib—TNK1—blood—schizophrenia	0.00164	0.0104	CbGeAlD
Erlotinib—FLT3—gonad—schizophrenia	0.00162	0.0103	CbGeAlD
Erlotinib—MKNK1—telencephalon—schizophrenia	0.00157	0.01	CbGeAlD
Erlotinib—AURKC—nervous system—schizophrenia	0.00156	0.00997	CbGeAlD
Erlotinib—JAK3—endocrine gland—schizophrenia	0.00155	0.00987	CbGeAlD
Erlotinib—EPHA6—endocrine gland—schizophrenia	0.00155	0.00987	CbGeAlD
Erlotinib—AURKC—central nervous system—schizophrenia	0.00151	0.0096	CbGeAlD
Erlotinib—CYP3A4—urine—schizophrenia	0.00149	0.0095	CbGeAlD
Erlotinib—SLK—telencephalon—schizophrenia	0.00149	0.00949	CbGeAlD
Erlotinib—CYP2D6—urine—schizophrenia	0.00147	0.00934	CbGeAlD
Erlotinib—PIP4K2C—gonad—schizophrenia	0.00146	0.0093	CbGeAlD
Erlotinib—JAK3—nervous system—schizophrenia	0.00145	0.00923	CbGeAlD
Erlotinib—EPHA6—nervous system—schizophrenia	0.00145	0.00923	CbGeAlD
Erlotinib—TNK1—endocrine gland—schizophrenia	0.00142	0.00906	CbGeAlD
Erlotinib—FLT3—blood—schizophrenia	0.00141	0.00897	CbGeAlD
Erlotinib—HIPK4—brain—schizophrenia	0.0014	0.00893	CbGeAlD
Erlotinib—JAK3—central nervous system—schizophrenia	0.00139	0.00889	CbGeAlD
