nodes	percent_of_prediction	percent_of_DWPC	metapath
Flurazepam—Heartburn—Hydrochlorothiazide—nephrolithiasis	0.0185	0.0902	CcSEcCtD
Flurazepam—SLC22A2—nephron—nephrolithiasis	0.0165	0.32	CbGeAlD
Flurazepam—Ataxia—Hydrochlorothiazide—nephrolithiasis	0.00868	0.0424	CcSEcCtD
Flurazepam—Aspartate aminotransferase increased—Hydrochlorothiazide—nephrolithiasis	0.00831	0.0406	CcSEcCtD
Flurazepam—GABRB2—Ion channel transport—CLCN4—nephrolithiasis	0.00823	0.0112	CbGpPWpGaD
Flurazepam—GABRA5—Ion channel transport—CLCN4—nephrolithiasis	0.00799	0.0109	CbGpPWpGaD
Flurazepam—GABRA5—Ion channel transport—CLCN5—nephrolithiasis	0.00799	0.0109	CbGpPWpGaD
Flurazepam—GABRA3—Ion channel transport—CLCN5—nephrolithiasis	0.00785	0.0107	CbGpPWpGaD
Flurazepam—GABRA3—Ion channel transport—CLCN4—nephrolithiasis	0.00785	0.0107	CbGpPWpGaD
Flurazepam—GABRA2—Ion channel transport—CLCN5—nephrolithiasis	0.00771	0.0105	CbGpPWpGaD
Flurazepam—GABRA2—Ion channel transport—CLCN4—nephrolithiasis	0.00771	0.0105	CbGpPWpGaD
Flurazepam—GABRB3—Ion channel transport—CLCN5—nephrolithiasis	0.00766	0.0104	CbGpPWpGaD
Flurazepam—GABRB3—Ion channel transport—CLCN4—nephrolithiasis	0.00766	0.0104	CbGpPWpGaD
Flurazepam—GABRG2—Ion channel transport—CLCN5—nephrolithiasis	0.00752	0.0102	CbGpPWpGaD
Flurazepam—GABRG2—Ion channel transport—CLCN4—nephrolithiasis	0.00752	0.0102	CbGpPWpGaD
Flurazepam—Sweating—Hydrochlorothiazide—nephrolithiasis	0.00682	0.0333	CcSEcCtD
Flurazepam—Agranulocytosis—Hydrochlorothiazide—nephrolithiasis	0.00664	0.0324	CcSEcCtD
Flurazepam—GABRA1—Ion channel transport—CLCN4—nephrolithiasis	0.00658	0.00894	CbGpPWpGaD
Flurazepam—GABRA1—Ion channel transport—CLCN5—nephrolithiasis	0.00658	0.00894	CbGpPWpGaD
Flurazepam—Flushing—Hydrochlorothiazide—nephrolithiasis	0.00593	0.0289	CcSEcCtD
Flurazepam—SLC22A2—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—SLC22A12—nephrolithiasis	0.00562	0.00765	CbGpPWpGaD
Flurazepam—Tension—Hydrochlorothiazide—nephrolithiasis	0.00546	0.0266	CcSEcCtD
Flurazepam—Dysgeusia—Hydrochlorothiazide—nephrolithiasis	0.00544	0.0266	CcSEcCtD
Flurazepam—Nervousness—Hydrochlorothiazide—nephrolithiasis	0.0054	0.0264	CcSEcCtD
Flurazepam—CYP2E1—urine—nephrolithiasis	0.00529	0.103	CbGeAlD
Flurazepam—Vision blurred—Hydrochlorothiazide—nephrolithiasis	0.00524	0.0256	CcSEcCtD
Flurazepam—SLC22A2—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—SLC2A9—nephrolithiasis	0.00523	0.00711	CbGpPWpGaD
Flurazepam—Agitation—Hydrochlorothiazide—nephrolithiasis	0.00511	0.0249	CcSEcCtD
Flurazepam—Chlorprothixene—CHRM3—nephrolithiasis	0.00508	0.592	CrCbGaD
Flurazepam—Syncope—Hydrochlorothiazide—nephrolithiasis	0.00499	0.0243	CcSEcCtD
