nodes	percent_of_prediction	percent_of_DWPC	metapath
Methadone—CYP2C18—chronic kidney failure	0.298	0.369	CbGaD
Methadone—CYP2B6—chronic kidney failure	0.221	0.274	CbGaD
Methadone—CYP2C19—chronic kidney failure	0.133	0.165	CbGaD
Methadone—CYP3A4—chronic kidney failure	0.0848	0.105	CbGaD
Methadone—ABCB1—chronic kidney failure	0.0706	0.0875	CbGaD
Methadone—CYP2C9—cardial valve—chronic kidney failure	0.00686	0.152	CbGeAlD
Methadone—HTR3A—nerve—chronic kidney failure	0.00208	0.0462	CbGeAlD
Methadone—OPRM1—nerve—chronic kidney failure	0.00191	0.0424	CbGeAlD
Methadone—CYP2C19—urine—chronic kidney failure	0.00191	0.0423	CbGeAlD
Methadone—CYP1A2—urine—chronic kidney failure	0.00156	0.0346	CbGeAlD
Methadone—CYP2C9—urine—chronic kidney failure	0.00148	0.0328	CbGeAlD
Methadone—CHRNA10—blood—chronic kidney failure	0.00125	0.0277	CbGeAlD
Methadone—CYP3A4—urine—chronic kidney failure	0.00113	0.025	CbGeAlD
Methadone—CYP2D6—urine—chronic kidney failure	0.00111	0.0246	CbGeAlD
Methadone—CYP2C19—blood plasma—chronic kidney failure	0.000996	0.0221	CbGeAlD
Methadone—OPRD1—renal system—chronic kidney failure	0.000994	0.022	CbGeAlD
Methadone—CYP3A7-CYP3A51P—nephron tubule—chronic kidney failure	0.000978	0.0217	CbGeAlD
Methadone—OPRD1—kidney—chronic kidney failure	0.000961	0.0213	CbGeAlD
Methadone—CYP2C18—digestive system—chronic kidney failure	0.000901	0.02	CbGeAlD
Methadone—CYP2C8—blood plasma—chronic kidney failure	0.00087	0.0193	CbGeAlD
Methadone—CYP3A7-CYP3A51P—cortex of kidney—chronic kidney failure	0.000837	0.0186	CbGeAlD
Methadone—CYP1A2—blood plasma—chronic kidney failure	0.000814	0.018	CbGeAlD
Methadone—CYP3A5—blood plasma—chronic kidney failure	0.000785	0.0174	CbGeAlD
Methadone—CYP2B6—blood plasma—chronic kidney failure	0.00078	0.0173	CbGeAlD
Methadone—CYP2C9—blood plasma—chronic kidney failure	0.000772	0.0171	CbGeAlD
Methadone—HTR3A—digestive system—chronic kidney failure	0.000606	0.0134	CbGeAlD
Methadone—CYP3A4—blood plasma—chronic kidney failure	0.000589	0.0131	CbGeAlD
Methadone—CYP2D6—blood plasma—chronic kidney failure	0.00058	0.0128	CbGeAlD
Methadone—HTR3A—blood—chronic kidney failure	0.000578	0.0128	CbGeAlD
Methadone—OPRM1—blood—chronic kidney failure	0.00053	0.0117	CbGeAlD
