nodes	percent_of_prediction	percent_of_DWPC	metapath
Trilostane—HSD3B1—hindbrain—epilepsy syndrome	0.0596	0.253	CbGeAlD
Trilostane—HSD3B1—cerebellum—epilepsy syndrome	0.0168	0.0716	CbGeAlD
Trilostane—ESR2—hindbrain—epilepsy syndrome	0.0154	0.0655	CbGeAlD
Trilostane—HSD3B2—head—epilepsy syndrome	0.015	0.0636	CbGeAlD
Trilostane—HSD3B2—nervous system—epilepsy syndrome	0.0142	0.0603	CbGeAlD
Trilostane—HSD3B2—central nervous system—epilepsy syndrome	0.0137	0.058	CbGeAlD
Trilostane—HSD3B2—brain—epilepsy syndrome	0.0108	0.0461	CbGeAlD
Trilostane—ESR1—hindbrain—epilepsy syndrome	0.0106	0.0449	CbGeAlD
Trilostane—ESR2—brainstem—epilepsy syndrome	0.00883	0.0375	CbGeAlD
Trilostane—ESR2—forebrain—epilepsy syndrome	0.00852	0.0362	CbGeAlD
Trilostane—ESR2—telencephalon—epilepsy syndrome	0.00784	0.0333	CbGeAlD
Trilostane—ESR1—brainstem—epilepsy syndrome	0.00605	0.0257	CbGeAlD
Trilostane—ESR1—forebrain—epilepsy syndrome	0.00584	0.0248	CbGeAlD
Trilostane—ESR1—telencephalon—epilepsy syndrome	0.00537	0.0228	CbGeAlD
Trilostane—ESR2—head—epilepsy syndrome	0.00488	0.0207	CbGeAlD
Trilostane—ESR2—nervous system—epilepsy syndrome	0.00463	0.0197	CbGeAlD
Trilostane—ESR2—central nervous system—epilepsy syndrome	0.00446	0.0189	CbGeAlD
Trilostane—ESR2—cerebellum—epilepsy syndrome	0.00435	0.0185	CbGeAlD
Trilostane—Danazol—CCL2—epilepsy syndrome	0.00418	0.199	CrCbGaD
Trilostane—ESR2—brain—epilepsy syndrome	0.00354	0.015	CbGeAlD
Trilostane—ESR1—head—epilepsy syndrome	0.00334	0.0142	CbGeAlD
Trilostane—Methyltestosterone—SLCO1A2—epilepsy syndrome	0.00328	0.156	CrCbGaD
Trilostane—ESR1—nervous system—epilepsy syndrome	0.00317	0.0135	CbGeAlD
Trilostane—ESR1—central nervous system—epilepsy syndrome	0.00305	0.013	CbGeAlD
Trilostane—ESR1—cerebellum—epilepsy syndrome	0.00298	0.0127	CbGeAlD
Trilostane—ESR1—brain—epilepsy syndrome	0.00242	0.0103	CbGeAlD
