nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Histidine—HARS—tRNA Aminoacylation—IARS2—IgA glomerulonephritis	0.0463	0.0587	CbGpPWpGaD
L-Histidine—HAL—lymphoid tissue—IgA glomerulonephritis	0.0447	0.224	CbGeAlD
L-Histidine—HARS—Cytosolic tRNA aminoacylation—RARS—IgA glomerulonephritis	0.0416	0.0527	CbGpPWpGaD
L-Histidine—HARS—nephron tubule—IgA glomerulonephritis	0.0338	0.169	CbGeAlD
L-Histidine—HARS—kidney—IgA glomerulonephritis	0.0297	0.149	CbGeAlD
L-Histidine—HARS—cortex of kidney—IgA glomerulonephritis	0.0289	0.145	CbGeAlD
L-Histidine—HARS—tRNA Aminoacylation—RARS—IgA glomerulonephritis	0.0266	0.0337	CbGpPWpGaD
L-Histidine—HARS—lymphoid tissue—IgA glomerulonephritis	0.0255	0.128	CbGeAlD
L-Histidine—SLC38A3—Amino acid transport across the plasma membrane—SLC6A20—IgA glomerulonephritis	0.0224	0.0284	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid transport across the plasma membrane—SLC7A5—IgA glomerulonephritis	0.0224	0.0284	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid transport across the plasma membrane—SLC38A2—IgA glomerulonephritis	0.0215	0.0272	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid and oligopeptide SLC transporters—SLC7A5—IgA glomerulonephritis	0.0156	0.0197	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid and oligopeptide SLC transporters—SLC6A20—IgA glomerulonephritis	0.0156	0.0197	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid and oligopeptide SLC transporters—SLC38A2—IgA glomerulonephritis	0.0149	0.0189	CbGpPWpGaD
L-Histidine—SLC16A10—nephron tubule—IgA glomerulonephritis	0.0141	0.0708	CbGeAlD
L-Histidine—HAL—Amino acid and derivative metabolism—AZIN1—IgA glomerulonephritis	0.014	0.0177	CbGpPWpGaD
L-Histidine—HAL—Amino acid and derivative metabolism—BCAT1—IgA glomerulonephritis	0.014	0.0177	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC20A1—IgA glomerulonephritis	0.0127	0.016	CbGpPWpGaD
L-Histidine—HDC—Amino acid and derivative metabolism—BCAT1—IgA glomerulonephritis	0.0125	0.0158	CbGpPWpGaD
L-Histidine—HDC—Amino acid and derivative metabolism—AZIN1—IgA glomerulonephritis	0.0125	0.0158	CbGpPWpGaD
L-Histidine—SLC16A10—cortex of kidney—IgA glomerulonephritis	0.0121	0.0606	CbGeAlD
L-Histidine—HAL—Amino acid and derivative metabolism—KYNU—IgA glomerulonephritis	0.0119	0.015	CbGpPWpGaD
L-Histidine—L-DOPA—SLC7A5—IgA glomerulonephritis	0.011	1	CrCbGaD
L-Histidine—SLC16A10—lymphoid tissue—IgA glomerulonephritis	0.0107	0.0535	CbGeAlD
L-Histidine—HDC—Amino acid and derivative metabolism—KYNU—IgA glomerulonephritis	0.0106	0.0134	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid transport across the plasma membrane—SLC7A5—IgA glomerulonephritis	0.00961	0.0122	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid transport across the plasma membrane—SLC6A20—IgA glomerulonephritis	0.00961	0.0122	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC9A6—IgA glomerulonephritis	0.0096	0.0122	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid transport across the plasma membrane—SLC38A2—IgA glomerulonephritis	0.00921	0.0117	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC7A5—IgA glomerulonephritis	0.00916	0.0116	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC6A20—IgA glomerulonephritis	0.00916	0.0116	CbGpPWpGaD
L-Histidine—HAL—Amino acid and derivative metabolism—MTRR—IgA glomerulonephritis	0.009	0.0114	CbGpPWpGaD
L-Histidine—SLC38A3—Amino acid and oligopeptide SLC transporters—SLC1A3—IgA glomerulonephritis	0.00893	0.0113	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC38A2—IgA glomerulonephritis	0.00878	0.0111	CbGpPWpGaD
L-Histidine—HAL—Amino acid and derivative metabolism—SAT1—IgA glomerulonephritis	0.00846	0.0107	CbGpPWpGaD
L-Histidine—HDC—Amino acid and derivative metabolism—MTRR—IgA glomerulonephritis	0.00802	0.0102	CbGpPWpGaD
L-Histidine—HDC—Amino acid and derivative metabolism—SAT1—IgA glomerulonephritis	0.00754	0.00956	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid and oligopeptide SLC transporters—SLC7A5—IgA glomerulonephritis	0.00666	0.00844	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid and oligopeptide SLC transporters—SLC6A20—IgA glomerulonephritis	0.00666	0.00844	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid and oligopeptide SLC transporters—SLC38A2—IgA glomerulonephritis	0.00639	0.00809	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC20A1—IgA glomerulonephritis	0.00566	0.00717	CbGpPWpGaD
L-Histidine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC20A1—IgA glomerulonephritis	0.00543	0.00687	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—HLA-DQB1—IgA glomerulonephritis	0.00541	0.00685	CbGpPWpGaD
L-Histidine—SLC38A3—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC1A3—IgA glomerulonephritis	0.00526	0.00666	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—CD40LG—IgA glomerulonephritis	0.00511	0.00647	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—C3—IgA glomerulonephritis	0.00452	0.00572	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC9A6—IgA glomerulonephritis	0.00429	0.00543	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC39A8—IgA glomerulonephritis	0.00429	0.00543	CbGpPWpGaD
L-Histidine—HAL—Amino acid and derivative metabolism—PSME3—IgA glomerulonephritis	0.00415	0.00526	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—HLA-DRB1—IgA glomerulonephritis	0.00411	0.00521	CbGpPWpGaD
L-Histidine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC9A6—IgA glomerulonephritis	0.00411	0.00521	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC7A5—IgA glomerulonephritis	0.00409	0.00518	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC6A20—IgA glomerulonephritis	0.00409	0.00518	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC38A2—IgA glomerulonephritis	0.00392	0.00497	CbGpPWpGaD
L-Histidine—SLC38A3—SLC-mediated transmembrane transport—SLC30A5—IgA glomerulonephritis	0.00392	0.00497	CbGpPWpGaD
L-Histidine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC6A20—IgA glomerulonephritis	0.00392	0.00497	CbGpPWpGaD
L-Histidine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC7A5—IgA glomerulonephritis	0.00392	0.00497	CbGpPWpGaD
L-Histidine—SLC16A10—Amino acid and oligopeptide SLC transporters—SLC1A3—IgA glomerulonephritis	0.00383	0.00485	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—CD80—IgA glomerulonephritis	0.0038	0.00481	CbGpPWpGaD
L-Histidine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC38A2—IgA glomerulonephritis	0.00376	0.00476	CbGpPWpGaD
L-Histidine—HDC—Amino acid and derivative metabolism—PSME3—IgA glomerulonephritis	0.0037	0.00469	CbGpPWpGaD
L-Histidine—HARS—Gene Expression—IARS2—IgA glomerulonephritis	0.0033	0.00418	CbGpPWpGaD
L-Histidine—SLC38A3—Transmembrane transport of small molecules—RAB11FIP2—IgA glomerulonephritis	0.00323	0.00409	CbGpPWpGaD
L-Histidine—HARS—Allograft Rejection—IFNG—IgA glomerulonephritis	0.003	0.00381	CbGpPWpGaD
L-Histidine—HARS—Gene Expression—TRAM1—IgA glomerulonephritis	0.00294	0.00372	CbGpPWpGaD
L-Histidine—HAL—Metabolism—CMPK1—IgA glomerulonephritis	0.00288	0.00365	CbGpPWpGaD
L-Histidine—HAL—Metabolism—LYPLA1—IgA glomerulonephritis	0.00288	0.00365	CbGpPWpGaD
