nodes	percent_of_prediction	percent_of_DWPC	metapath
Esmolol—ADRB2—asthma	0.203	1	CbGaD
Esmolol—Sotalol—Orciprenaline—asthma	0.102	0.395	CrCrCtD
Esmolol—Sotalol—Isoprenaline—asthma	0.0646	0.25	CrCrCtD
Esmolol—Propafenone—Salmeterol—asthma	0.0562	0.217	CrCrCtD
Esmolol—ADRB2—Orciprenaline—asthma	0.045	0.105	CbGbCtD
Esmolol—Pindolol—Isoprenaline—asthma	0.0354	0.137	CrCrCtD
Esmolol—ADRB2—Pirbuterol—asthma	0.0341	0.0793	CbGbCtD
Esmolol—ADRB2—Terbutaline—asthma	0.0341	0.0793	CbGbCtD
Esmolol—ADRB2—Isoetarine—asthma	0.0341	0.0793	CbGbCtD
Esmolol—ADRB1—Isoetarine—asthma	0.0336	0.0781	CbGbCtD
Esmolol—ADRB1—Pirbuterol—asthma	0.0336	0.0781	CbGbCtD
Esmolol—ADRB2—Indacaterol—asthma	0.0236	0.0549	CbGbCtD
Esmolol—ADRB1—Indacaterol—asthma	0.0233	0.0541	CbGbCtD
Esmolol—ADRB2—Salmeterol—asthma	0.022	0.0511	CbGbCtD
Esmolol—ADRB2—Salbutamol—asthma	0.022	0.0511	CbGbCtD
Esmolol—ADRB1—Salbutamol—asthma	0.0217	0.0503	CbGbCtD
Esmolol—ADRB2—Isoprenaline—asthma	0.0187	0.0434	CbGbCtD
Esmolol—ADRB1—Isoprenaline—asthma	0.0184	0.0428	CbGbCtD
Esmolol—ADRB2—Arformoterol—asthma	0.0167	0.0387	CbGbCtD
Esmolol—ADRB2—Formoterol—asthma	0.0167	0.0387	CbGbCtD
Esmolol—ADRB1—Formoterol—asthma	0.0164	0.0381	CbGbCtD
Esmolol—ADRB1—Arformoterol—asthma	0.0164	0.0381	CbGbCtD
Esmolol—Metipranolol—ADRB2—asthma	0.000211	0.101	CrCbGaD
Esmolol—Sotalol—ADRB2—asthma	0.000188	0.0903	CrCbGaD
Esmolol—Bevantolol—ADRB2—asthma	0.000166	0.0795	CrCbGaD
Esmolol—Ibuprofen—BCL2—asthma	0.00015	0.0718	CrCbGaD
Esmolol—Betaxolol—ADRB2—asthma	0.000148	0.0708	CrCbGaD
Esmolol—Atenolol—ADRB2—asthma	0.000146	0.0702	CrCbGaD
Esmolol—Bisoprolol—ADRB2—asthma	0.000143	0.0684	CrCbGaD
Esmolol—Acebutolol—ADRB2—asthma	0.000135	0.0648	CrCbGaD
Esmolol—Oxprenolol—ADRB2—asthma	0.000134	0.0643	CrCbGaD
Esmolol—Alprenolol—ADRB2—asthma	0.000123	0.0588	CrCbGaD
Esmolol—Ibuprofen—CXCL8—asthma	0.00012	0.0576	CrCbGaD
Esmolol—Metoprolol—ADRB2—asthma	0.000114	0.0547	CrCbGaD
Esmolol—Pindolol—ADRB2—asthma	0.000105	0.0506	CrCbGaD
Esmolol—Chlorphenesin—PTGS2—asthma	7.84e-05	0.0376	CrCbGaD
Esmolol—Propranolol—ADRB2—asthma	5.75e-05	0.0276	CrCbGaD
Esmolol—Bradycardia—Hydrocortisone—asthma	4.1e-05	0.00048	CcSEcCtD
Esmolol—Pruritus—Mometasone—asthma	4.07e-05	0.000477	CcSEcCtD
Esmolol—Feeling abnormal—Budesonide—asthma	4.07e-05	0.000477	CcSEcCtD
Esmolol—Urticaria—Salbutamol—asthma	4.06e-05	0.000475	CcSEcCtD
Esmolol—Body temperature increased—Salbutamol—asthma	4.04e-05	0.000473	CcSEcCtD
Esmolol—Nausea—Loratadine—asthma	3.99e-05	0.000467	CcSEcCtD
Esmolol—Nausea—Tiotropium—asthma	3.98e-05	0.000466	CcSEcCtD
Esmolol—Visual impairment—Prednisolone—asthma	3.97e-05	0.000465	CcSEcCtD
Esmolol—Vomiting—Flunisolide—asthma	3.95e-05	0.000463	CcSEcCtD
Esmolol—Urticaria—Budesonide—asthma	3.93e-05	0.00046	CcSEcCtD
Esmolol—Body temperature increased—Budesonide—asthma	3.91e-05	0.000458	CcSEcCtD
