nodes	percent_of_prediction	percent_of_DWPC	metapath
Docetaxel—Paclitaxel—breast cancer	0.182	1	CrCtD
Docetaxel—ovarian cancer—breast cancer	0.116	1	CtDrD
Docetaxel—Cabazitaxel—Paclitaxel—breast cancer	0.103	1	CrCrCtD
Docetaxel—Microtubule Inhibition—Eribulin—breast cancer	0.0994	0.388	CiPCiCtD
Docetaxel—Microtubule Inhibition—Ixabepilone—breast cancer	0.0994	0.388	CiPCiCtD
Docetaxel—Microtubule Inhibition—Paclitaxel—breast cancer	0.0571	0.223	CiPCiCtD
Docetaxel—TUBB3—breast cancer	0.0264	0.271	CbGaD
Docetaxel—BCL2—breast cancer	0.017	0.175	CbGaD
Docetaxel—ABCC1—breast cancer	0.0154	0.158	CbGaD
Docetaxel—CYP1B1—breast cancer	0.0118	0.121	CbGaD
Docetaxel—EGFR—breast cancer	0.0111	0.114	CbGaD
Docetaxel—ABCG2—breast cancer	0.00812	0.0835	CbGaD
Docetaxel—MAP4—Paclitaxel—breast cancer	0.005	0.0304	CbGbCtD
Docetaxel—TUBB2B—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB4A—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB3—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB2A—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB6—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB8—Eribulin—breast cancer	0.00459	0.0279	CbGbCtD
Docetaxel—TUBB6—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—TUBB4A—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—TUBB2B—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—TUBB8—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—TUBB3—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—TUBB2A—Ixabepilone—breast cancer	0.0044	0.0267	CbGbCtD
Docetaxel—EGFR—Lapatinib—breast cancer	0.00423	0.0257	CbGbCtD
Docetaxel—CYP3A4—breast cancer	0.00406	0.0418	CbGaD
Docetaxel—TUBB—Eribulin—breast cancer	0.00384	0.0233	CbGbCtD
Docetaxel—TUBB4B—Eribulin—breast cancer	0.00384	0.0233	CbGbCtD
