nodes	percent_of_prediction	percent_of_DWPC	metapath
Icosapent—PTGS2—bile duct cancer	0.805	1	CbGaD
Icosapent—FFAR1—pancreas—bile duct cancer	0.0282	0.279	CbGeAlD
Icosapent—ACSL3—pancreas—bile duct cancer	0.0112	0.111	CbGeAlD
Icosapent—ACSL3—liver—bile duct cancer	0.00714	0.0707	CbGeAlD
Icosapent—TRPV1—pancreas—bile duct cancer	0.00621	0.0614	CbGeAlD
Icosapent—FADS1—pancreas—bile duct cancer	0.00621	0.0614	CbGeAlD
Icosapent—PPARD—Ectoderm Differentiation—PPFIBP2—bile duct cancer	0.00588	0.0647	CbGpPWpGaD
Icosapent—ACSL4—pancreas—bile duct cancer	0.00563	0.0558	CbGeAlD
Icosapent—PPARD—pancreas—bile duct cancer	0.00541	0.0536	CbGeAlD
Icosapent—PPARD—Pyruvate metabolism and Citric Acid (TCA) cycle—IDH2—bile duct cancer	0.00404	0.0445	CbGpPWpGaD
Icosapent—FADS1—liver—bile duct cancer	0.00395	0.0391	CbGeAlD
Icosapent—ACSL4—liver—bile duct cancer	0.00359	0.0355	CbGeAlD
Icosapent—PPARD—liver—bile duct cancer	0.00344	0.0341	CbGeAlD
Icosapent—Dihomo-gamma-linolenic acid—PTGS2—bile duct cancer	0.0032	1	CrCbGaD
Icosapent—FADS1—lymph node—bile duct cancer	0.00303	0.03	CbGeAlD
Icosapent—PTGS2—gall bladder—bile duct cancer	0.00281	0.0278	CbGeAlD
Icosapent—ACSL4—lymph node—bile duct cancer	0.00275	0.0272	CbGeAlD
Icosapent—PPARD—lymph node—bile duct cancer	0.00264	0.0261	CbGeAlD
Icosapent—ACSL3—Metabolism of lipids and lipoproteins—FAR2—bile duct cancer	0.00255	0.0281	CbGpPWpGaD
Icosapent—PPARG—pancreas—bile duct cancer	0.00253	0.0251	CbGeAlD
Icosapent—PTGS2—Signaling mediated by p38-alpha and p38-beta—KRT19—bile duct cancer	0.00245	0.027	CbGpPWpGaD
Icosapent—FADS1—Metabolism of lipids and lipoproteins—FAR2—bile duct cancer	0.00214	0.0235	CbGpPWpGaD
Icosapent—SLC8A1—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC5A5—bile duct cancer	0.00207	0.0228	CbGpPWpGaD
Icosapent—FFAR1—Regulation of insulin secretion—GNAS—bile duct cancer	0.00206	0.0227	CbGpPWpGaD
Icosapent—ACSL4—Metabolism of lipids and lipoproteins—FAR2—bile duct cancer	0.00193	0.0213	CbGpPWpGaD
Icosapent—SLC8A1—Platelet homeostasis—GNAS—bile duct cancer	0.00188	0.0207	CbGpPWpGaD
Icosapent—PPARG—Signaling events mediated by HDAC Class I—MBD2—bile duct cancer	0.00167	0.0183	CbGpPWpGaD
Icosapent—FFAR1—Integration of energy metabolism—GNAS—bile duct cancer	0.00162	0.0178	CbGpPWpGaD
Icosapent—PPARG—liver—bile duct cancer	0.00161	0.016	CbGeAlD
Icosapent—PPARD—The citric acid (TCA) cycle and respiratory electron transport—IDH2—bile duct cancer	0.00157	0.0173	CbGpPWpGaD
Icosapent—TRPV1—Trk receptor signaling mediated by the MAPK pathway—NRAS—bile duct cancer	0.00148	0.0163	CbGpPWpGaD
