nodes	percent_of_prediction	percent_of_DWPC	metapath
Trazodone—HTR2C—bipolar disorder	0.238	0.291	CbGaD
Trazodone—HTR1A—bipolar disorder	0.231	0.282	CbGaD
Trazodone—SLC6A4—bipolar disorder	0.197	0.241	CbGaD
Trazodone—HTR2A—bipolar disorder	0.151	0.185	CbGaD
Trazodone—ORM1—saliva—bipolar disorder	0.006	0.103	CbGeAlD
Trazodone—HTR2A—locus ceruleus—bipolar disorder	0.00521	0.0896	CbGeAlD
Trazodone—HTR2C—telencephalic ventricle—bipolar disorder	0.00493	0.0847	CbGeAlD
Trazodone—HTR1A—telencephalic ventricle—bipolar disorder	0.00415	0.0713	CbGeAlD
Trazodone—HTR2A—autonomic nervous system—bipolar disorder	0.00277	0.0476	CbGeAlD
Trazodone—HTR2A—telencephalic ventricle—bipolar disorder	0.00247	0.0425	CbGeAlD
Trazodone—HTR2A—urine—bipolar disorder	0.00226	0.0388	CbGeAlD
Trazodone—SLC6A4—blood plasma—bipolar disorder	0.00223	0.0383	CbGeAlD
Trazodone—CYP3A4—urine—bipolar disorder	0.00209	0.0359	CbGeAlD
Trazodone—CYP2D6—urine—bipolar disorder	0.00206	0.0354	CbGeAlD
Trazodone—HTR1A—blood plasma—bipolar disorder	0.00198	0.034	CbGeAlD
Trazodone—CYP3A5—blood plasma—bipolar disorder	0.00145	0.025	CbGeAlD
Trazodone—ADRA2A—blood plasma—bipolar disorder	0.00139	0.0238	CbGeAlD
Trazodone—HTR2A—blood plasma—bipolar disorder	0.00118	0.0203	CbGeAlD
Trazodone—HTR2B—adrenal cortex—bipolar disorder	0.00112	0.0193	CbGeAlD
Trazodone—CYP3A4—blood plasma—bipolar disorder	0.00109	0.0188	CbGeAlD
Trazodone—CYP2D6—blood plasma—bipolar disorder	0.00107	0.0185	CbGeAlD
Trazodone—HTR2B—thyroid gland—bipolar disorder	0.00078	0.0134	CbGeAlD
Trazodone—ORM1—nervous system—bipolar disorder	0.000777	0.0134	CbGeAlD
Trazodone—ABCB1—blood plasma—bipolar disorder	0.000772	0.0133	CbGeAlD
Trazodone—HTR2C—nervous system—bipolar disorder	0.000698	0.012	CbGeAlD
Trazodone—SLC6A4—nervous system—bipolar disorder	0.000662	0.0114	CbGeAlD
Trazodone—HTR2B—nervous system—bipolar disorder	0.000656	0.0113	CbGeAlD
Trazodone—HTR1A—nervous system—bipolar disorder	0.000588	0.0101	CbGeAlD
Trazodone—HTR1A—cerebellum—bipolar disorder	0.000553	0.00951	CbGeAlD
Trazodone—ADRA1A—nervous system—bipolar disorder	0.000542	0.00932	CbGeAlD
Trazodone—HTR2C—brain—bipolar disorder	0.000534	0.00918	CbGeAlD
Trazodone—ADRA1A—cerebellum—bipolar disorder	0.00051	0.00877	CbGeAlD
Trazodone—SLC6A4—brain—bipolar disorder	0.000506	0.0087	CbGeAlD
Trazodone—HTR2B—brain—bipolar disorder	0.000502	0.00863	CbGeAlD
Trazodone—ADRA2A—thyroid gland—bipolar disorder	0.00049	0.00843	CbGeAlD
Trazodone—HTR1A—brain—bipolar disorder	0.000449	0.00773	CbGeAlD
Trazodone—Ziprasidone—DRD5—bipolar disorder	0.000424	0.0414	CrCbGaD
Trazodone—HRH1—nervous system—bipolar disorder	0.00042	0.00721	CbGeAlD
Trazodone—ADRA1A—brain—bipolar disorder	0.000414	0.00712	CbGeAlD
Trazodone—ADRA2A—nervous system—bipolar disorder	0.000412	0.00709	CbGeAlD
Trazodone—Vilazodone—HTR1A—bipolar disorder	0.000403	0.0393	CrCbGaD
Trazodone—ABCB1—adrenal cortex—bipolar disorder	0.000392	0.00674	CbGeAlD
Trazodone—ADRA2A—cerebellum—bipolar disorder	0.000388	0.00667	CbGeAlD
Trazodone—Zuclopenthixol—DRD5—bipolar disorder	0.000358	0.035	CrCbGaD
Trazodone—HTR2A—nervous system—bipolar disorder	0.00035	0.00603	CbGeAlD
Trazodone—Vilazodone—SLC6A4—bipolar disorder	0.000344	0.0336	CrCbGaD
Trazodone—Vilazodone—DRD2—bipolar disorder	0.000342	0.0334	CrCbGaD
Trazodone—Aripiprazole—DRD5—bipolar disorder	0.000331	0.0324	CrCbGaD
Trazodone—HTR2A—cerebellum—bipolar disorder	0.00033	0.00567	CbGeAlD
Trazodone—CYP3A4—nervous system—bipolar disorder	0.000324	0.00558	CbGeAlD
Trazodone—HRH1—brain—bipolar disorder	0.000321	0.00551	CbGeAlD
Trazodone—CYP2D6—nervous system—bipolar disorder	0.000319	0.00549	CbGeAlD
Trazodone—ADRA2A—brain—bipolar disorder	0.000315	0.00542	CbGeAlD
Trazodone—CYP2D6—cerebellum—bipolar disorder	0.0003	0.00517	CbGeAlD
Trazodone—ABCB1—thyroid gland—bipolar disorder	0.000273	0.00469	CbGeAlD
Trazodone—HTR2A—brain—bipolar disorder	0.000268	0.00461	CbGeAlD
Trazodone—Acetophenazine—DRD1—bipolar disorder	0.000245	0.0239	CrCbGaD
Trazodone—CYP2D6—brain—bipolar disorder	0.000244	0.0042	CbGeAlD
Trazodone—ABCB1—nervous system—bipolar disorder	0.00023	0.00395	CbGeAlD
Trazodone—Ziprasidone—DRD4—bipolar disorder	0.000217	0.0212	CrCbGaD
Trazodone—ABCB1—cerebellum—bipolar disorder	0.000216	0.00372	CbGeAlD
Trazodone—Loxapine—DRD5—bipolar disorder	0.000212	0.0207	CrCbGaD
Trazodone—Quetiapine—DRD5—bipolar disorder	0.000207	0.0202	CrCbGaD
Trazodone—Domperidone—DRD3—bipolar disorder	0.000189	0.0185	CrCbGaD
Trazodone—Ziprasidone—DRD3—bipolar disorder	0.000187	0.0183	CrCbGaD
Trazodone—Ziprasidone—DRD1—bipolar disorder	0.000184	0.0179	CrCbGaD
Trazodone—ABCB1—brain—bipolar disorder	0.000176	0.00302	CbGeAlD
