nodes	percent_of_prediction	percent_of_DWPC	metapath
Cyclobenzaprine—Cyproheptadine—Ketotifen—asthma	0.181	1	CrCrCtD
Cyclobenzaprine—migraine—Prednisone—asthma	0.125	0.341	CpDpCtD
Cyclobenzaprine—osteoarthritis—Methylprednisolone—asthma	0.121	0.33	CpDpCtD
Cyclobenzaprine—osteoarthritis—Prednisone—asthma	0.121	0.33	CpDpCtD
Cyclobenzaprine—CYP1A2—Zileuton—asthma	0.0169	0.053	CbGbCtD
Cyclobenzaprine—CYP2D6—Ciclesonide—asthma	0.0168	0.0527	CbGbCtD
Cyclobenzaprine—CYP1A2—Zafirlukast—asthma	0.0149	0.0466	CbGbCtD
Cyclobenzaprine—CYP2D6—Ipratropium bromide—asthma	0.0139	0.0437	CbGbCtD
Cyclobenzaprine—CYP3A4—Fluticasone furoate—asthma	0.0131	0.0411	CbGbCtD
Cyclobenzaprine—CYP2D6—Zafirlukast—asthma	0.0123	0.0384	CbGbCtD
Cyclobenzaprine—CYP1A2—Aminophylline—asthma	0.0122	0.0383	CbGbCtD
Cyclobenzaprine—CYP2D6—Formoterol—asthma	0.0118	0.0371	CbGbCtD
Cyclobenzaprine—CYP2D6—Arformoterol—asthma	0.0118	0.0371	CbGbCtD
Cyclobenzaprine—CYP3A4—Budesonide—asthma	0.0117	0.0366	CbGbCtD
Cyclobenzaprine—CYP1A2—Theophylline—asthma	0.0115	0.036	CbGbCtD
Cyclobenzaprine—CYP3A4—Ciclesonide—asthma	0.0107	0.0335	CbGbCtD
Cyclobenzaprine—CYP3A4—Indacaterol—asthma	0.0107	0.0335	CbGbCtD
Cyclobenzaprine—CYP2D6—Tiotropium—asthma	0.0105	0.0331	CbGbCtD
Cyclobenzaprine—CYP3A4—Flunisolide—asthma	0.00993	0.0311	CbGbCtD
Cyclobenzaprine—CYP3A4—Salbutamol—asthma	0.00993	0.0311	CbGbCtD
Cyclobenzaprine—CYP3A4—Salmeterol—asthma	0.00993	0.0311	CbGbCtD
Cyclobenzaprine—CYP2D6—Theophylline—asthma	0.00946	0.0297	CbGbCtD
Cyclobenzaprine—CYP2D6—Loratadine—asthma	0.00897	0.0281	CbGbCtD
Cyclobenzaprine—CYP3A4—Zileuton—asthma	0.00885	0.0278	CbGbCtD
Cyclobenzaprine—CYP3A4—Ipratropium bromide—asthma	0.00885	0.0278	CbGbCtD
Cyclobenzaprine—CYP3A4—Fluticasone Propionate—asthma	0.00844	0.0265	CbGbCtD
Cyclobenzaprine—CYP3A4—Zafirlukast—asthma	0.00779	0.0244	CbGbCtD
Cyclobenzaprine—CYP3A4—Tiotropium—asthma	0.00671	0.021	CbGbCtD
Cyclobenzaprine—CYP3A4—Aminophylline—asthma	0.0064	0.0201	CbGbCtD
Cyclobenzaprine—CYP3A4—Theophylline—asthma	0.00601	0.0189	CbGbCtD
Cyclobenzaprine—CYP3A4—Montelukast—asthma	0.0057	0.0179	CbGbCtD
Cyclobenzaprine—CYP3A4—Loratadine—asthma	0.0057	0.0179	CbGbCtD
Cyclobenzaprine—CYP3A4—Methylprednisolone—asthma	0.00521	0.0164	CbGbCtD
Cyclobenzaprine—CYP3A4—Triamcinolone—asthma	0.00395	0.0124	CbGbCtD
Cyclobenzaprine—CYP3A4—Betamethasone—asthma	0.00339	0.0106	CbGbCtD
Cyclobenzaprine—CYP3A4—Prednisolone—asthma	0.00335	0.0105	CbGbCtD
Cyclobenzaprine—CYP3A4—Hydrocortisone—asthma	0.00317	0.00995	CbGbCtD
Cyclobenzaprine—CYP3A4—Prednisone—asthma	0.00316	0.00991	CbGbCtD
