nodes	percent_of_prediction	percent_of_DWPC	metapath
Saxagliptin—DPP4—type 2 diabetes mellitus	0.305	0.852	CbGaD
Saxagliptin—DPP4—Linagliptin—type 2 diabetes mellitus	0.198	0.439	CbGbCtD
Saxagliptin—DPP4—Sitagliptin—type 2 diabetes mellitus	0.176	0.391	CbGbCtD
Saxagliptin—CYP3A4—type 2 diabetes mellitus	0.0527	0.147	CbGaD
Saxagliptin—ABCC1—Glyburide—type 2 diabetes mellitus	0.0161	0.0357	CbGbCtD
Saxagliptin—CYP3A5—Nateglinide—type 2 diabetes mellitus	0.00884	0.0196	CbGbCtD
Saxagliptin—CYP3A4—Linagliptin—type 2 diabetes mellitus	0.00705	0.0157	CbGbCtD
Saxagliptin—CYP3A4—Sitagliptin—type 2 diabetes mellitus	0.00629	0.0139	CbGbCtD
Saxagliptin—CYP3A4—Glipizide—type 2 diabetes mellitus	0.00575	0.0128	CbGbCtD
Saxagliptin—CYP3A5—Losartan—type 2 diabetes mellitus	0.00546	0.0121	CbGbCtD
Saxagliptin—CYP3A4—Repaglinide—type 2 diabetes mellitus	0.00503	0.0112	CbGbCtD
Saxagliptin—CYP3A4—Pioglitazone—type 2 diabetes mellitus	0.00455	0.0101	CbGbCtD
Saxagliptin—Vildagliptin—DPP4—type 2 diabetes mellitus	0.0038	1	CrCbGaD
Saxagliptin—CYP3A4—Nateglinide—type 2 diabetes mellitus	0.00345	0.00764	CbGbCtD
Saxagliptin—CYP3A4—Irbesartan—type 2 diabetes mellitus	0.0033	0.00733	CbGbCtD
Saxagliptin—CYP3A4—Orlistat—type 2 diabetes mellitus	0.0033	0.00733	CbGbCtD
Saxagliptin—CYP3A4—Bromocriptine—type 2 diabetes mellitus	0.00312	0.00693	CbGbCtD
Saxagliptin—CYP3A4—Glyburide—type 2 diabetes mellitus	0.00233	0.00516	CbGbCtD
Saxagliptin—DPP8—islet of Langerhans—type 2 diabetes mellitus	0.00217	0.0858	CbGeAlD
Saxagliptin—CYP3A4—Losartan—type 2 diabetes mellitus	0.00213	0.00472	CbGbCtD
Saxagliptin—DPP8—nephron tubule—type 2 diabetes mellitus	0.00175	0.0691	CbGeAlD
Saxagliptin—DPP8—pancreas—type 2 diabetes mellitus	0.00153	0.0603	CbGeAlD
Saxagliptin—DPP9—adipose tissue—type 2 diabetes mellitus	0.00152	0.0601	CbGeAlD
Saxagliptin—DPP8—cortex of kidney—type 2 diabetes mellitus	0.0015	0.0592	CbGeAlD
Saxagliptin—DPP8—adipose tissue—type 2 diabetes mellitus	0.00138	0.0547	CbGeAlD
Saxagliptin—SLCO4C1—nephron tubule—type 2 diabetes mellitus	0.00111	0.0437	CbGeAlD
Saxagliptin—DPP9—liver—type 2 diabetes mellitus	0.00107	0.0422	CbGeAlD
Saxagliptin—SLCO4C1—kidney—type 2 diabetes mellitus	0.000972	0.0384	CbGeAlD
Saxagliptin—DPP8—liver—type 2 diabetes mellitus	0.000971	0.0384	CbGeAlD
Saxagliptin—SLCO4C1—cortex of kidney—type 2 diabetes mellitus	0.000947	0.0374	CbGeAlD
Saxagliptin—DPP4—islet of Langerhans—type 2 diabetes mellitus	0.000912	0.0361	CbGeAlD
