nodes	percent_of_prediction	percent_of_DWPC	metapath
Enflurane—ALB—coronary artery disease	0.198	1	CbGaD
Enflurane—ALB—Pitavastatin—coronary artery disease	0.0778	0.19	CbGbCtD
Enflurane—ALB—Valsartan—coronary artery disease	0.0757	0.185	CbGbCtD
Enflurane—ALB—Rosuvastatin—coronary artery disease	0.0574	0.14	CbGbCtD
Enflurane—ALB—Acetylsalicylic acid—coronary artery disease	0.0559	0.136	CbGbCtD
Enflurane—ALB—Captopril—coronary artery disease	0.0552	0.135	CbGbCtD
Enflurane—ALB—Furosemide—coronary artery disease	0.0444	0.108	CbGbCtD
Enflurane—ALB—Losartan—coronary artery disease	0.0435	0.106	CbGbCtD
Enflurane—Traumatic liver injury—Clopidogrel—coronary artery disease	0.00744	0.0423	CcSEcCtD
Enflurane—Traumatic liver injury—Captopril—coronary artery disease	0.0058	0.033	CcSEcCtD
Enflurane—Hepatic necrosis—Lovastatin—coronary artery disease	0.00474	0.027	CcSEcCtD
Enflurane—Hepatic necrosis—Simvastatin—coronary artery disease	0.00443	0.0252	CcSEcCtD
Enflurane—Hepatic failure—Pitavastatin—coronary artery disease	0.00421	0.024	CcSEcCtD
Enflurane—Hepatotoxicity—Acetylsalicylic acid—coronary artery disease	0.00409	0.0233	CcSEcCtD
Enflurane—Hepatic necrosis—Pravastatin—coronary artery disease	0.00401	0.0228	CcSEcCtD
Enflurane—Hepatic necrosis—Captopril—coronary artery disease	0.00372	0.0211	CcSEcCtD
Enflurane—Liver injury—Clopidogrel—coronary artery disease	0.00329	0.0187	CcSEcCtD
Enflurane—Hepatotoxicity—Niacin—coronary artery disease	0.00306	0.0174	CcSEcCtD
Enflurane—Hepatic necrosis—Ramipril—coronary artery disease	0.0029	0.0165	CcSEcCtD
Enflurane—Chills—Tirofiban—coronary artery disease	0.00275	0.0157	CcSEcCtD
Enflurane—Hepatic failure—Rosuvastatin—coronary artery disease	0.00262	0.0149	CcSEcCtD
Enflurane—Hyperkalaemia—Eplerenone—coronary artery disease	0.0026	0.0148	CcSEcCtD
Enflurane—Liver injury—Captopril—coronary artery disease	0.00257	0.0146	CcSEcCtD
Enflurane—Hyperkalaemia—Valsartan—coronary artery disease	0.00239	0.0136	CcSEcCtD
Enflurane—Hyperkalaemia—Olmesartan—coronary artery disease	0.00238	0.0135	CcSEcCtD
