nodes	percent_of_prediction	percent_of_DWPC	metapath
Trifluridine—TYMP—Pyrimidine catabolism—UPB1—autistic disorder	0.0535	0.0692	CbGpPWpGaD
Trifluridine—TK1—Pyrimidine metabolism—UPB1—autistic disorder	0.0444	0.0574	CbGpPWpGaD
Trifluridine—TK1—Fluoropyrimidine Activity—UPB1—autistic disorder	0.0344	0.0445	CbGpPWpGaD
Trifluridine—TYMP—Pyrimidine metabolism—UPB1—autistic disorder	0.0307	0.0398	CbGpPWpGaD
Trifluridine—TYMP—Pyrimidine catabolism—DPYD—autistic disorder	0.0281	0.0364	CbGpPWpGaD
Trifluridine—Pentostatin—ADA—autistic disorder	0.0276	1	CrCbGaD
Trifluridine—TYMP—Fluoropyrimidine Activity—UPB1—autistic disorder	0.0238	0.0308	CbGpPWpGaD
Trifluridine—TK1—Pyrimidine metabolism—DPYD—autistic disorder	0.0233	0.0301	CbGpPWpGaD
Trifluridine—TK1—digestive system—autistic disorder	0.0211	0.106	CbGeAlD
Trifluridine—TK1—Fluoropyrimidine Activity—DPYD—autistic disorder	0.0181	0.0234	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—UPB1—autistic disorder	0.0173	0.0223	CbGpPWpGaD
Trifluridine—TK1—head—autistic disorder	0.0172	0.0865	CbGeAlD
Trifluridine—TK1—nervous system—autistic disorder	0.0163	0.082	CbGeAlD
Trifluridine—TYMP—Pyrimidine metabolism—DPYD—autistic disorder	0.0162	0.0209	CbGpPWpGaD
Trifluridine—TK1—central nervous system—autistic disorder	0.0157	0.0789	CbGeAlD
Trifluridine—TYMS—Pyrimidine metabolism—UPB1—autistic disorder	0.0157	0.0203	CbGpPWpGaD
Trifluridine—TK1—Fluoropyrimidine Activity—DHFR—autistic disorder	0.0153	0.0198	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—ADSL—autistic disorder	0.0131	0.0169	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—XDH—autistic disorder	0.0128	0.0166	CbGpPWpGaD
Trifluridine—TYMS—telencephalon—autistic disorder	0.0127	0.0635	CbGeAlD
Trifluridine—TYMP—Fluoropyrimidine Activity—DPYD—autistic disorder	0.0125	0.0162	CbGpPWpGaD
Trifluridine—TK1—brain—autistic disorder	0.0125	0.0627	CbGeAlD
Trifluridine—TYMS—Fluoropyrimidine Activity—UPB1—autistic disorder	0.0122	0.0158	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—UPB1—autistic disorder	0.012	0.0155	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—ADA—autistic disorder	0.0116	0.015	CbGpPWpGaD
Trifluridine—TYMP—digestive system—autistic disorder	0.0113	0.0565	CbGeAlD
Trifluridine—TYMP—Fluoropyrimidine Activity—DHFR—autistic disorder	0.0106	0.0137	CbGpPWpGaD
Trifluridine—TYMS—One Carbon Metabolism—TCN2—autistic disorder	0.0098	0.0127	CbGpPWpGaD
Trifluridine—TYMS—digestive system—autistic disorder	0.00966	0.0485	CbGeAlD
Trifluridine—TK1—Validated targets of C-MYC transcriptional activation—EIF4E—autistic disorder	0.00921	0.0119	CbGpPWpGaD
Trifluridine—TYMS—G1/S-Specific Transcription—DHFR—autistic disorder	0.00921	0.0119	CbGpPWpGaD
Trifluridine—TYMP—head—autistic disorder	0.00918	0.0461	CbGeAlD
Trifluridine—TK1—Nucleotide metabolism—DPYD—autistic disorder	0.00908	0.0117	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—ADSL—autistic disorder	0.00908	0.0117	CbGpPWpGaD
Trifluridine—TK1—Fluoropyrimidine Activity—MTHFR—autistic disorder	0.00899	0.0116	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—XDH—autistic disorder	0.0089	0.0115	CbGpPWpGaD
Trifluridine—TYMP—nervous system—autistic disorder	0.00871	0.0437	CbGeAlD
Trifluridine—TYMP—central nervous system—autistic disorder	0.00838	0.0421	CbGeAlD
Trifluridine—TYMS—Pyrimidine metabolism—DPYD—autistic disorder	0.00826	0.0107	CbGpPWpGaD
Trifluridine—TYMP—cerebellum—autistic disorder	0.00819	0.0411	CbGeAlD
Trifluridine—TK1—E2F transcription factor network—DHFR—autistic disorder	0.00809	0.0105	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—ADA—autistic disorder	0.00805	0.0104	CbGpPWpGaD
Trifluridine—TYMS—head—autistic disorder	0.00788	0.0395	CbGeAlD
Trifluridine—TYMS—nervous system—autistic disorder	0.00747	0.0375	CbGeAlD
Trifluridine—TYMS—Circadian rythm related genes—MAGEL2—autistic disorder	0.00722	0.00933	CbGpPWpGaD
Trifluridine—TYMS—central nervous system—autistic disorder	0.00719	0.0361	CbGeAlD
Trifluridine—TYMS—cerebellum—autistic disorder	0.00703	0.0353	CbGeAlD
Trifluridine—TYMP—brain—autistic disorder	0.00666	0.0334	CbGeAlD
Trifluridine—SLC22A6—brain—autistic disorder	0.00641	0.0322	CbGeAlD
Trifluridine—TYMS—Fluoropyrimidine Activity—DPYD—autistic disorder	0.0064	0.00828	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—DPYD—autistic disorder	0.00629	0.00814	CbGpPWpGaD
Trifluridine—TYMP—Fluoropyrimidine Activity—MTHFR—autistic disorder	0.00623	0.00806	CbGpPWpGaD
Trifluridine—TYMS—One Carbon Metabolism—DHFR—autistic disorder	0.00618	0.00799	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—UPB1—autistic disorder	0.00613	0.00792	CbGpPWpGaD
Trifluridine—TYMS—brain—autistic disorder	0.00571	0.0287	CbGeAlD
Trifluridine—TYMS—Trans-sulfuration and one carbon metabolism—DHFR—autistic disorder	0.00555	0.00718	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—NLGN1—autistic disorder	0.00547	0.00707	CbGpPWpGaD
Trifluridine—TYMP—Bladder Cancer—EGF—autistic disorder	0.00544	0.00704	CbGpPWpGaD
Trifluridine—TYMS—Fluoropyrimidine Activity—DHFR—autistic disorder	0.00542	0.00701	CbGpPWpGaD
Trifluridine—TYMS—E2F mediated regulation of DNA replication—DHFR—autistic disorder	0.00542	0.00701	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—CAT—autistic disorder	0.00541	0.007	CbGpPWpGaD
Trifluridine—TK1—Nucleotide metabolism—GPX1—autistic disorder	0.00489	0.00633	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—ADSL—autistic disorder	0.00464	0.006	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—XDH—autistic disorder	0.00455	0.00589	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—ADA—autistic disorder	0.00412	0.00533	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—CAT—autistic disorder	0.00375	0.00485	CbGpPWpGaD
Trifluridine—TYMS—One Carbon Metabolism—MTHFR—autistic disorder	0.00364	0.0047	CbGpPWpGaD
Trifluridine—TK1—E2F transcription factor network—SERPINE1—autistic disorder	0.00348	0.0045	CbGpPWpGaD
Trifluridine—TYMP—Nucleotide metabolism—GPX1—autistic disorder	0.00339	0.00439	CbGpPWpGaD
Trifluridine—TYMS—Trans-sulfuration and one carbon metabolism—MTHFR—autistic disorder	0.00327	0.00423	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—DPYD—autistic disorder	0.00322	0.00416	CbGpPWpGaD
Trifluridine—TYMS—Fluoropyrimidine Activity—MTHFR—autistic disorder	0.00319	0.00412	CbGpPWpGaD
Trifluridine—TYMP—Bladder Cancer—MAPK1—autistic disorder	0.00296	0.00383	CbGpPWpGaD
Trifluridine—TYMS—E2F transcription factor network—DHFR—autistic disorder	0.00287	0.00371	CbGpPWpGaD
Trifluridine—TYMS—Integrated Pancreatic Cancer Pathway—NTF3—autistic disorder	0.00278	0.0036	CbGpPWpGaD
Trifluridine—SLC22A6—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—SLC40A1—autistic disorder	0.00276	0.00356	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—PER1—autistic disorder	0.00267	0.00345	CbGpPWpGaD
Trifluridine—TK1—Metabolism—ACADSB—autistic disorder	0.00254	0.00329	CbGpPWpGaD
Trifluridine—TK1—Metabolism—INPP1—autistic disorder	0.00254	0.00329	CbGpPWpGaD
Trifluridine—TYMS—Retinoblastoma (RB) in Cancer—DHFR—autistic disorder	0.00249	0.00323	CbGpPWpGaD
Trifluridine—TYMP—Bladder Cancer—HRAS—autistic disorder	0.00238	0.00308	CbGpPWpGaD
Trifluridine—TK1—Metabolism—BTD—autistic disorder	0.00226	0.00293	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—NPAS2—autistic disorder	0.0021	0.00271	CbGpPWpGaD
Trifluridine—TYMS—G1/S Transition—DHFR—autistic disorder	0.00208	0.00269	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—UBE3A—autistic disorder	0.00193	0.0025	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—ADA—autistic disorder	0.00193	0.0025	CbGpPWpGaD
Trifluridine—TK1—Metabolism—TDO2—autistic disorder	0.00193	0.00249	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—CAT—autistic disorder	0.00192	0.00248	CbGpPWpGaD
Trifluridine—SLC22A6—Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds—CP—autistic disorder	0.00186	0.00241	CbGpPWpGaD
Trifluridine—TK1—Metabolism—DHCR7—autistic disorder	0.00181	0.00234	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—PRF1—autistic disorder	0.0018	0.00233	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—KCNMA1—autistic disorder	0.0018	0.00233	CbGpPWpGaD
Trifluridine—TYMP—Metabolism—ACADSB—autistic disorder	0.00176	0.00228	CbGpPWpGaD
Trifluridine—TYMP—Metabolism—INPP1—autistic disorder	0.00176	0.00228	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—RORA—autistic disorder	0.00176	0.00228	CbGpPWpGaD
Trifluridine—TYMS—Mitotic G1-G1/S phases—DHFR—autistic disorder	0.00175	0.00227	CbGpPWpGaD
Trifluridine—TYMS—Nucleotide metabolism—GPX1—autistic disorder	0.00174	0.00224	CbGpPWpGaD
Trifluridine—SLC22A6—SLC-mediated transmembrane transport—SLC9A9—autistic disorder	0.00173	0.00224	CbGpPWpGaD
Trifluridine—TK1—Metabolism—SLC6A8—autistic disorder	0.00172	0.00222	CbGpPWpGaD
Trifluridine—TK1—Metabolism—EXT1—autistic disorder	0.00172	0.00222	CbGpPWpGaD
Trifluridine—TK1—Metabolism—DAO—autistic disorder	0.00164	0.00212	CbGpPWpGaD
Trifluridine—TK1—Metabolism—UPB1—autistic disorder	0.00157	0.00203	CbGpPWpGaD
Trifluridine—TYMP—Metabolism—BTD—autistic disorder	0.00157	0.00203	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—TPH2—autistic disorder	0.00153	0.00198	CbGpPWpGaD
Trifluridine—TK1—Metabolism—ASMT—autistic disorder	0.00146	0.00189	CbGpPWpGaD
Trifluridine—TK1—Metabolism—GSTM5—autistic disorder	0.00146	0.00189	CbGpPWpGaD
Trifluridine—TYMS—Circadian rythm related genes—CHRNB2—autistic disorder	0.00145	0.00188	CbGpPWpGaD
Trifluridine—TYMS—Integrated Pancreatic Cancer Pathway—IGFBP3—autistic disorder	0.00142	0.00184	CbGpPWpGaD
Trifluridine—TK1—Metabolism—SLC25A12—autistic disorder	0.00137	0.00177	CbGpPWpGaD
Trifluridine—TYMS—Cell Cycle—RFWD2—autistic disorder	0.00135	0.00175	CbGpPWpGaD
Trifluridine—TK1—Metabolism—SLC19A1—autistic disorder	0.00133	0.00173	CbGpPWpGaD
Trifluridine—TYMP—Metabolism—TDO2—autistic disorder	0.00133	0.00173	CbGpPWpGaD
