nodes	percent_of_prediction	percent_of_DWPC	metapath
Succinic acid—Azelaic Acid—SRD5A2—uterine cancer	0.0256	1	CrCbGaD
Succinic acid—SDHC—oviduct—uterine cancer	0.0204	0.0301	CbGeAlD
Succinic acid—SUCLG1—oviduct—uterine cancer	0.0171	0.0253	CbGeAlD
Succinic acid—SUCNR1—renal system—uterine cancer	0.011	0.0163	CbGeAlD
Succinic acid—SUCLG1—exocrine gland—uterine cancer	0.00988	0.0146	CbGeAlD
Succinic acid—SLC13A1—renal system—uterine cancer	0.00938	0.0139	CbGeAlD
Succinic acid—OXCT1—Levonorgestrel—Progesterone—uterine cancer	0.00871	1	CbGdCrCtD
Succinic acid—SLC13A2—renal system—uterine cancer	0.00798	0.0118	CbGeAlD
Succinic acid—OXCT2—female reproductive system—uterine cancer	0.00706	0.0104	CbGeAlD
Succinic acid—SLC13A1—vagina—uterine cancer	0.00679	0.01	CbGeAlD
Succinic acid—HSD17B6—myometrium—uterine cancer	0.00651	0.00962	CbGeAlD
Succinic acid—SLC13A2—female reproductive system—uterine cancer	0.00639	0.00944	CbGeAlD
Succinic acid—SLC25A10—renal system—uterine cancer	0.00604	0.00893	CbGeAlD
Succinic acid—SLC13A3—renal system—uterine cancer	0.00539	0.00796	CbGeAlD
Succinic acid—SLC25A10—uterus—uterine cancer	0.00538	0.00796	CbGeAlD
Succinic acid—HSD17B6—epithelium—uterine cancer	0.00511	0.00755	CbGeAlD
Succinic acid—HSD17B6—uterine cervix—uterine cancer	0.00507	0.00749	CbGeAlD
Succinic acid—OXCT1—myometrium—uterine cancer	0.00506	0.00748	CbGeAlD
Succinic acid—SDHB—myometrium—uterine cancer	0.00503	0.00743	CbGeAlD
Succinic acid—SUCLA2—myometrium—uterine cancer	0.00503	0.00743	CbGeAlD
Succinic acid—SUCLG2—myometrium—uterine cancer	0.00497	0.00734	CbGeAlD
Succinic acid—SLC25A10—female reproductive system—uterine cancer	0.00484	0.00715	CbGeAlD
Succinic acid—HSD17B6—decidua—uterine cancer	0.00483	0.00714	CbGeAlD
Succinic acid—SDHC—renal system—uterine cancer	0.00474	0.00701	CbGeAlD
Succinic acid—HSD17B6—renal system—uterine cancer	0.00474	0.00701	CbGeAlD
Succinic acid—P3H3—myometrium—uterine cancer	0.00469	0.00693	CbGeAlD
Succinic acid—TMLHE—uterus—uterine cancer	0.00451	0.00667	CbGeAlD
Succinic acid—SLC13A3—female reproductive system—uterine cancer	0.00431	0.00637	CbGeAlD
Succinic acid—SUCLG1—uterine cervix—uterine cancer	0.00426	0.00629	CbGeAlD
Succinic acid—SDHA—renal system—uterine cancer	0.00423	0.00625	CbGeAlD
Succinic acid—HSD17B6—uterus—uterine cancer	0.00423	0.00624	CbGeAlD
Succinic acid—SDHC—uterus—uterine cancer	0.00423	0.00624	CbGeAlD
Succinic acid—SUCLG1—decidua—uterine cancer	0.00406	0.006	CbGeAlD
Succinic acid—TMLHE—female reproductive system—uterine cancer	0.00406	0.00599	CbGeAlD
Succinic acid—P3H1—myometrium—uterine cancer	0.00401	0.00592	CbGeAlD
Succinic acid—SUCLG1—renal system—uterine cancer	0.00398	0.00589	CbGeAlD
Succinic acid—OXCT1—uterine cervix—uterine cancer	0.00394	0.00582	CbGeAlD
Succinic acid—SLC13A3—female gonad—uterine cancer	0.00393	0.0058	CbGeAlD
Succinic acid—SUCLA2—uterine cervix—uterine cancer	0.00391	0.00578	CbGeAlD
Succinic acid—SDHB—uterine cervix—uterine cancer	0.00391	0.00578	CbGeAlD
Succinic acid—PLOD3—myometrium—uterine cancer	0.00389	0.00574	CbGeAlD
Succinic acid—SUCLG2—uterine cervix—uterine cancer	0.00387	0.00571	CbGeAlD
Succinic acid—PLOD1—myometrium—uterine cancer	0.00386	0.0057	CbGeAlD
Succinic acid—SUCLG1—endometrium—uterine cancer	0.00385	0.00569	CbGeAlD
Succinic acid—SDHD—myometrium—uterine cancer	0.00384	0.00567	CbGeAlD
Succinic acid—OXCT1—smooth muscle tissue—uterine cancer	0.00383	0.00566	CbGeAlD
Succinic acid—P3H2—myometrium—uterine cancer	0.00381	0.00563	CbGeAlD
Succinic acid—SDHB—smooth muscle tissue—uterine cancer	0.0038	0.00562	CbGeAlD
Succinic acid—SDHC—female reproductive system—uterine cancer	0.0038	0.00561	CbGeAlD
Succinic acid—HSD17B6—female reproductive system—uterine cancer	0.0038	0.00561	CbGeAlD
Succinic acid—SDHA—uterus—uterine cancer	0.00377	0.00556	CbGeAlD
Succinic acid—SUCLG2—smooth muscle tissue—uterine cancer	0.00376	0.00555	CbGeAlD
