nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Valine—BCAT1—Branched-chain amino acid catabolism—HSD17B10—lung cancer	0.0767	0.165	CbGpPWpGaD
L-Valine—PCCB—mammary gland—lung cancer	0.0559	0.119	CbGeAlD
L-Valine—VARS—bronchus—lung cancer	0.0501	0.107	CbGeAlD
L-Valine—BCAT1—respiratory system—lung cancer	0.0375	0.0799	CbGeAlD
L-Valine—VARS—bone marrow—lung cancer	0.0357	0.076	CbGeAlD
L-Valine—VARS—lung—lung cancer	0.0323	0.0689	CbGeAlD
L-Valine—PCCB—bronchus—lung cancer	0.0307	0.0654	CbGeAlD
L-Valine—BCAT1—trachea—lung cancer	0.0277	0.0591	CbGeAlD
L-Valine—PCCB—trachea—lung cancer	0.0275	0.0587	CbGeAlD
L-Valine—PCCB—cardiac atrium—lung cancer	0.0259	0.0551	CbGeAlD
L-Valine—VARS—lymph node—lung cancer	0.0221	0.0471	CbGeAlD
L-Valine—PCCB—bone marrow—lung cancer	0.0218	0.0466	CbGeAlD
L-Valine—BCAT1—lung—lung cancer	0.0199	0.0424	CbGeAlD
L-Valine—PCCB—lung—lung cancer	0.0198	0.0422	CbGeAlD
L-Valine—SLC16A10—epithelium—lung cancer	0.017	0.0362	CbGeAlD
L-Valine—PCCB—Docetaxel—Paclitaxel—lung cancer	0.0168	0.325	CbGdCrCtD
L-Valine—BCAT1—Amino acid and derivative metabolism—AZIN2—lung cancer	0.0162	0.0348	CbGpPWpGaD
L-Valine—L-Cysteine—GCLC—lung cancer	0.0143	1	CrCbGaD
L-Valine—BCAT1—lymph node—lung cancer	0.0136	0.029	CbGeAlD
L-Valine—PCCB—lymph node—lung cancer	0.0135	0.0288	CbGeAlD
L-Valine—SLC16A10—Transport of inorganic cations/anions and amino acids/oligopeptides—SLC34A2—lung cancer	0.0112	0.0242	CbGpPWpGaD
L-Valine—BCAT1—Amino acid and derivative metabolism—HSD17B10—lung cancer	0.0112	0.0241	CbGpPWpGaD
L-Valine—SLC16A10—lung—lung cancer	0.0108	0.023	CbGeAlD
L-Valine—BCAT1—Amino acid and derivative metabolism—CKB—lung cancer	0.0104	0.0224	CbGpPWpGaD
L-Valine—BCAT1—Amino acid and derivative metabolism—CNDP2—lung cancer	0.0098	0.0211	CbGpPWpGaD
L-Valine—BCAT1—Validated targets of C-MYC transcriptional activation—ENO1—lung cancer	0.00977	0.021	CbGpPWpGaD
L-Valine—PCCB—Podofilox—Teniposide—lung cancer	0.00906	0.175	CbGdCrCtD
L-Valine—PCCB—Afatinib—Gefitinib—lung cancer	0.0082	0.159	CbGdCrCtD
L-Valine—SLC16A10—lymph node—lung cancer	0.00738	0.0157	CbGeAlD
L-Valine—PCCB—Metabolism of lipids and lipoproteins—COL4A3BP—lung cancer	0.00667	0.0144	CbGpPWpGaD
L-Valine—VARS—Gene Expression—EIF2B4—lung cancer	0.00635	0.0137	CbGpPWpGaD
L-Valine—BCAT1—Validated targets of C-MYC transcriptional activation—BIRC5—lung cancer	0.00604	0.013	CbGpPWpGaD
L-Valine—BCAT1—Validated targets of C-MYC transcriptional activation—TERT—lung cancer	0.00585	0.0126	CbGpPWpGaD
