nodes	percent_of_prediction	percent_of_DWPC	metapath
Miconazole—NOS3—type 2 diabetes mellitus	0.123	0.32	CbGaD
Miconazole—NOS2—type 2 diabetes mellitus	0.119	0.309	CbGaD
Miconazole—CYP2E1—type 2 diabetes mellitus	0.0554	0.144	CbGaD
Miconazole—CYP1A2—type 2 diabetes mellitus	0.0527	0.137	CbGaD
Miconazole—CYP3A4—type 2 diabetes mellitus	0.0349	0.0906	CbGaD
Miconazole—CYP2A6—Rosiglitazone—type 2 diabetes mellitus	0.0234	0.07	CbGbCtD
Miconazole—ABCB1—Linagliptin—type 2 diabetes mellitus	0.0132	0.0393	CbGbCtD
Miconazole—CYP2C19—Gliclazide—type 2 diabetes mellitus	0.0124	0.0369	CbGbCtD
Miconazole—CYP2C9—Glimepiride—type 2 diabetes mellitus	0.0121	0.0361	CbGbCtD
Miconazole—ABCB1—Sitagliptin—type 2 diabetes mellitus	0.0117	0.035	CbGbCtD
Miconazole—CYP2C9—Glipizide—type 2 diabetes mellitus	0.0111	0.033	CbGbCtD
Miconazole—CYP2C19—Pioglitazone—type 2 diabetes mellitus	0.0105	0.0314	CbGbCtD
Miconazole—CYP2C19—Chlorpropamide—type 2 diabetes mellitus	0.0105	0.0314	CbGbCtD
Miconazole—CYP2C9—Gliclazide—type 2 diabetes mellitus	0.0103	0.0307	CbGbCtD
Miconazole—CYP2C19—Rosiglitazone—type 2 diabetes mellitus	0.0097	0.0289	CbGbCtD
Miconazole—CYP2C19—Tolbutamide—type 2 diabetes mellitus	0.00936	0.0279	CbGbCtD
Miconazole—CYP1A2—Rosiglitazone—type 2 diabetes mellitus	0.00895	0.0267	CbGbCtD
Miconazole—CYP2C9—Pioglitazone—type 2 diabetes mellitus	0.00874	0.0261	CbGbCtD
Miconazole—CYP2C9—Chlorpropamide—type 2 diabetes mellitus	0.00874	0.0261	CbGbCtD
Miconazole—ABCB1—Chlorpropamide—type 2 diabetes mellitus	0.00848	0.0253	CbGbCtD
Miconazole—NOS3—femoral artery—type 2 diabetes mellitus	0.00845	0.146	CbGeAlD
Miconazole—CYP2C9—Rosiglitazone—type 2 diabetes mellitus	0.00806	0.0241	CbGbCtD
Miconazole—CYP2D6—Pioglitazone—type 2 diabetes mellitus	0.00799	0.0238	CbGbCtD
Miconazole—CYP3A4—Linagliptin—type 2 diabetes mellitus	0.00788	0.0235	CbGbCtD
Miconazole—CYP2C9—Tolbutamide—type 2 diabetes mellitus	0.00779	0.0232	CbGbCtD
Miconazole—CYP2D6—Rosiglitazone—type 2 diabetes mellitus	0.00737	0.022	CbGbCtD
Miconazole—CYP2C9—Valsartan—type 2 diabetes mellitus	0.00712	0.0212	CbGbCtD
Miconazole—CYP1A2—Irbesartan—type 2 diabetes mellitus	0.00704	0.021	CbGbCtD
Miconazole—CYP3A4—Sitagliptin—type 2 diabetes mellitus	0.00703	0.021	CbGbCtD
Miconazole—CYP1A2—Bromocriptine—type 2 diabetes mellitus	0.00666	0.0199	CbGbCtD
Miconazole—CYP2C9—Nateglinide—type 2 diabetes mellitus	0.00662	0.0198	CbGbCtD
Miconazole—CYP3A4—Glipizide—type 2 diabetes mellitus	0.00643	0.0192	CbGbCtD
Miconazole—CYP2C9—Irbesartan—type 2 diabetes mellitus	0.00635	0.0189	CbGbCtD
Miconazole—CYP2D6—Nateglinide—type 2 diabetes mellitus	0.00605	0.0181	CbGbCtD
Miconazole—ABCB1—Bromocriptine—type 2 diabetes mellitus	0.00582	0.0174	CbGbCtD
Miconazole—NOS3—middle cerebral artery—type 2 diabetes mellitus	0.00581	0.1	CbGeAlD
Miconazole—CYP2D6—Irbesartan—type 2 diabetes mellitus	0.0058	0.0173	CbGbCtD
Miconazole—CYP3A4—Repaglinide—type 2 diabetes mellitus	0.00562	0.0168	CbGbCtD
Miconazole—CYP2C19—Glyburide—type 2 diabetes mellitus	0.00538	0.0161	CbGbCtD
Miconazole—NOS3—arteriole—type 2 diabetes mellitus	0.00512	0.0883	CbGeAlD
Miconazole—CYP3A4—Pioglitazone—type 2 diabetes mellitus	0.00508	0.0152	CbGbCtD
Miconazole—CYP2C19—Losartan—type 2 diabetes mellitus	0.00492	0.0147	CbGbCtD
Miconazole—CYP1A2—Losartan—type 2 diabetes mellitus	0.00454	0.0135	CbGbCtD
Miconazole—CYP2C9—Glyburide—type 2 diabetes mellitus	0.00447	0.0133	CbGbCtD
Miconazole—ABCB1—Glyburide—type 2 diabetes mellitus	0.00434	0.013	CbGbCtD
Miconazole—CYP2C9—Losartan—type 2 diabetes mellitus	0.00409	0.0122	CbGbCtD
Miconazole—ABCB1—Losartan—type 2 diabetes mellitus	0.00397	0.0118	CbGbCtD
Miconazole—KCNMB1—artery—type 2 diabetes mellitus	0.00394	0.068	CbGeAlD
Miconazole—CYP3A4—Nateglinide—type 2 diabetes mellitus	0.00385	0.0115	CbGbCtD
Miconazole—CYP3A4—Irbesartan—type 2 diabetes mellitus	0.00369	0.011	CbGbCtD
Miconazole—CYP3A4—Orlistat—type 2 diabetes mellitus	0.00369	0.011	CbGbCtD
Miconazole—NOS3—tunica intima—type 2 diabetes mellitus	0.00363	0.0627	CbGeAlD
Miconazole—CYP3A4—Bromocriptine—type 2 diabetes mellitus	0.00349	0.0104	CbGbCtD
Miconazole—NOS3—penis—type 2 diabetes mellitus	0.00269	0.0463	CbGeAlD
Miconazole—CYP3A4—Glyburide—type 2 diabetes mellitus	0.0026	0.00776	CbGbCtD
Miconazole—CYP3A4—Losartan—type 2 diabetes mellitus	0.00238	0.0071	CbGbCtD
Miconazole—NOS3—hindlimb—type 2 diabetes mellitus	0.00203	0.035	CbGeAlD
Miconazole—KCNMB2—islet of Langerhans—type 2 diabetes mellitus	0.00179	0.031	CbGeAlD
Miconazole—KCNMB1—cardiovascular system—type 2 diabetes mellitus	0.00137	0.0236	CbGeAlD
Miconazole—KCNMB1—pancreas—type 2 diabetes mellitus	0.00133	0.023	CbGeAlD
Miconazole—NOS3—artery—type 2 diabetes mellitus	0.00124	0.0215	CbGeAlD
Miconazole—KCNMB2—cortex of kidney—type 2 diabetes mellitus	0.00124	0.0213	CbGeAlD
