nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Valine—VARS—myocardium—coronary artery disease	0.0328	0.178	CbGeAlD
L-Valine—VARS—heart—coronary artery disease	0.0229	0.125	CbGeAlD
L-Valine—PCCB—cardiac ventricle—coronary artery disease	0.0213	0.116	CbGeAlD
L-Valine—PCCB—myocardium—coronary artery disease	0.0201	0.109	CbGeAlD
L-Valine—VARS—blood—coronary artery disease	0.0171	0.093	CbGeAlD
L-Valine—BCAT1—heart—coronary artery disease	0.0141	0.0768	CbGeAlD
L-Valine—PCCB—heart—coronary artery disease	0.014	0.0763	CbGeAlD
L-Valine—PCCB—cardiovascular system—coronary artery disease	0.0132	0.072	CbGeAlD
L-Valine—L-Cysteine—GCLM—coronary artery disease	0.0129	0.52	CrCbGaD
L-Valine—PCCB—cardiac atrium—coronary artery disease	0.012	0.0653	CbGeAlD
L-Valine—PCCB—Pimozide—Ezetimibe—coronary artery disease	0.0111	0.381	CbGdCrCtD
L-Valine—PCCB—blood—coronary artery disease	0.0105	0.0569	CbGeAlD
L-Valine—PCCB—Simvastatin—Pravastatin—coronary artery disease	0.00902	0.309	CbGdCrCtD
L-Valine—PCCB—Simvastatin—Lovastatin—coronary artery disease	0.00902	0.309	CbGdCrCtD
L-Valine—L-Cysteine—GCLC—coronary artery disease	0.00677	0.273	CrCbGaD
L-Valine—SLC16A10—blood—coronary artery disease	0.0057	0.031	CbGeAlD
L-Valine—L-Cysteine—GOT1—coronary artery disease	0.00513	0.207	CrCbGaD
L-Valine—PCCB—Disease—APOA4—coronary artery disease	0.000887	0.00116	CbGpPWpGaD
L-Valine—SLC16A10—SLC-mediated transmembrane transport—SLC9A1—coronary artery disease	0.000873	0.00115	CbGpPWpGaD
L-Valine—PCCB—Metabolism of lipids and lipoproteins—ABCA1—coronary artery disease	0.000846	0.00111	CbGpPWpGaD
L-Valine—PCCB—Metabolism—SULT1E1—coronary artery disease	0.000844	0.00111	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—SULT1E1—coronary artery disease	0.000844	0.00111	CbGpPWpGaD
L-Valine—PCCB—Disease—DVL1—coronary artery disease	0.000843	0.00111	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—RYR2—coronary artery disease	0.000835	0.00109	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—COX5B—coronary artery disease	0.000835	0.00109	CbGpPWpGaD
L-Valine—PCCB—Metabolism of lipids and lipoproteins—GGT1—coronary artery disease	0.000819	0.00107	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—PLN—coronary artery disease	0.000812	0.00107	CbGpPWpGaD
L-Valine—PCCB—Disease—CANX—coronary artery disease	0.000805	0.00106	CbGpPWpGaD
L-Valine—PCCB—Metabolism—HK2—coronary artery disease	0.000805	0.00106	CbGpPWpGaD
L-Valine—PCCB—Metabolism—AKR1B1—coronary artery disease	0.000805	0.00106	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—AKR1B1—coronary artery disease	0.000805	0.00106	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—HK2—coronary artery disease	0.000805	0.00106	CbGpPWpGaD
L-Valine—VARS—Gene Expression—SIRT1—coronary artery disease	0.000789	0.00104	CbGpPWpGaD
L-Valine—PCCB—Disease—TLE4—coronary artery disease	0.000783	0.00103	CbGpPWpGaD
L-Valine—PCCB—Metabolism—SLC27A1—coronary artery disease	0.000772	0.00101	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—SLC27A1—coronary artery disease	0.000772	0.00101	CbGpPWpGaD
L-Valine—PCCB—Disease—APOA2—coronary artery disease	0.000763	0.001	CbGpPWpGaD
L-Valine—PCCB—Metabolism—CPT1B—coronary artery disease	0.000757	0.000992	CbGpPWpGaD
L-Valine—PCCB—Metabolism—LCAT—coronary artery disease	0.000757	0.000992	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—CPT1B—coronary artery disease	0.000757	0.000992	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—LCAT—coronary artery disease	0.000757	0.000992	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—HK2—coronary artery disease	0.000755	0.00099	CbGpPWpGaD
L-Valine—PCCB—Disease—HK1—coronary artery disease	0.000754	0.000989	CbGpPWpGaD
L-Valine—PCCB—Metabolism—APOA4—coronary artery disease	0.000743	0.000974	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—APOA4—coronary artery disease	0.000743	0.000974	CbGpPWpGaD
L-Valine—PCCB—Metabolism of lipids and lipoproteins—PPARGC1A—coronary artery disease	0.000729	0.000956	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—ATP4A—coronary artery disease	0.000724	0.000949	CbGpPWpGaD
L-Valine—SLC16A10—Transmembrane transport of small molecules—SLC27A1—coronary artery disease	0.000724	0.000949	CbGpPWpGaD
L-Valine—PCCB—Metabolism—PDHA1—coronary artery disease	0.000717	0.000941	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—PDHA1—coronary artery disease	0.000717	0.000941	CbGpPWpGaD
L-Valine—PCCB—Metabolism—GCLM—coronary artery disease	0.000717	0.000941	CbGpPWpGaD
L-Valine—BCAT1—Metabolism—GCLM—coronary artery disease	0.000717	0.000941	CbGpPWpGaD
L-Valine—PCCB—Disease—NR4A1—coronary artery disease	0.000713	0.000935	CbGpPWpGaD
