nodes	percent_of_prediction	percent_of_DWPC	metapath
Clonidine—SLC6A2—locus ceruleus—bipolar disorder	0.0447	0.159	CbGeAlD
Clonidine—SLC6A2—autonomic nervous system—bipolar disorder	0.0238	0.0845	CbGeAlD
Clonidine—Lofexidine—HTR1A—bipolar disorder	0.0196	1	CrCbGaD
Clonidine—CYP1A2—urine—bipolar disorder	0.0149	0.0529	CbGeAlD
Clonidine—CYP3A4—urine—bipolar disorder	0.0108	0.0383	CbGeAlD
Clonidine—CYP2D6—urine—bipolar disorder	0.0106	0.0377	CbGeAlD
Clonidine—NISCH—adrenal cortex—bipolar disorder	0.00995	0.0354	CbGeAlD
Clonidine—CYP1A2—blood plasma—bipolar disorder	0.00777	0.0276	CbGeAlD
Clonidine—CYP3A5—blood plasma—bipolar disorder	0.0075	0.0266	CbGeAlD
Clonidine—ADRA2A—blood plasma—bipolar disorder	0.00715	0.0254	CbGeAlD
Clonidine—NISCH—thyroid gland—bipolar disorder	0.00693	0.0246	CbGeAlD
Clonidine—CYP3A4—blood plasma—bipolar disorder	0.00563	0.02	CbGeAlD
Clonidine—CYP2D6—blood plasma—bipolar disorder	0.00554	0.0197	CbGeAlD
Clonidine—NISCH—cerebellum—bipolar disorder	0.00549	0.0195	CbGeAlD
Clonidine—ADRA1B—nervous system—bipolar disorder	0.00498	0.0177	CbGeAlD
Clonidine—ADRA1D—nervous system—bipolar disorder	0.00487	0.0173	CbGeAlD
Clonidine—SLC22A4—thyroid gland—bipolar disorder	0.00458	0.0163	CbGeAlD
Clonidine—ADRA2C—adrenal cortex—bipolar disorder	0.00455	0.0162	CbGeAlD
Clonidine—NISCH—brain—bipolar disorder	0.00446	0.0158	CbGeAlD
Clonidine—SLC22A5—adrenal cortex—bipolar disorder	0.00436	0.0155	CbGeAlD
Clonidine—SLC22A3—thyroid gland—bipolar disorder	0.00417	0.0148	CbGeAlD
Clonidine—ABCB1—blood plasma—bipolar disorder	0.00398	0.0142	CbGeAlD
Clonidine—ADRA1B—brain—bipolar disorder	0.0038	0.0135	CbGeAlD
Clonidine—ADRA1D—brain—bipolar disorder	0.00372	0.0132	CbGeAlD
Clonidine—SLC22A1—nervous system—bipolar disorder	0.00367	0.013	CbGeAlD
Clonidine—SLC22A4—cerebellum—bipolar disorder	0.00363	0.0129	CbGeAlD
Clonidine—SLC22A3—nervous system—bipolar disorder	0.00351	0.0125	CbGeAlD
Clonidine—SLC22A5—thyroid gland—bipolar disorder	0.00303	0.0108	CbGeAlD
Clonidine—SLC6A2—nervous system—bipolar disorder	0.00301	0.0107	CbGeAlD
Clonidine—SLC22A4—brain—bipolar disorder	0.00295	0.0105	CbGeAlD
Clonidine—SLC22A1—brain—bipolar disorder	0.00281	0.00997	CbGeAlD
Clonidine—ADRA1A—nervous system—bipolar disorder	0.0028	0.00993	CbGeAlD
Clonidine—CYP1A2—thyroid gland—bipolar disorder	0.00275	0.00977	CbGeAlD
Clonidine—CYP1A1—thyroid gland—bipolar disorder	0.00271	0.00963	CbGeAlD
Clonidine—SLC22A3—brain—bipolar disorder	0.00268	0.00953	CbGeAlD
Clonidine—ADRA2C—nervous system—bipolar disorder	0.00266	0.00947	CbGeAlD
Clonidine—ADRA1A—cerebellum—bipolar disorder	0.00263	0.00935	CbGeAlD
Clonidine—ADRA2A—thyroid gland—bipolar disorder	0.00253	0.00898	CbGeAlD
Clonidine—ADRA2C—cerebellum—bipolar disorder	0.00251	0.00891	CbGeAlD
Clonidine—SLC22A5—cerebellum—bipolar disorder	0.0024	0.00853	CbGeAlD
Clonidine—SLC6A2—brain—bipolar disorder	0.0023	0.00817	CbGeAlD
Clonidine—CYP1A1—nervous system—bipolar disorder	0.00228	0.0081	CbGeAlD
Clonidine—ADRA1A—brain—bipolar disorder	0.00214	0.00759	CbGeAlD
Clonidine—ADRA2A—nervous system—bipolar disorder	0.00213	0.00755	CbGeAlD
Clonidine—ADRA2C—brain—bipolar disorder	0.00204	0.00724	CbGeAlD
Clonidine—ABCB1—adrenal cortex—bipolar disorder	0.00202	0.00718	CbGeAlD
Clonidine—ADRA2A—cerebellum—bipolar disorder	0.002	0.00711	CbGeAlD
Clonidine—SLC22A5—brain—bipolar disorder	0.00195	0.00693	CbGeAlD
Clonidine—CYP1A1—brain—bipolar disorder	0.00174	0.00619	CbGeAlD
Clonidine—CYP3A4—nervous system—bipolar disorder	0.00167	0.00595	CbGeAlD
Clonidine—CYP2D6—nervous system—bipolar disorder	0.00165	0.00585	CbGeAlD
Clonidine—ADRA2A—brain—bipolar disorder	0.00162	0.00577	CbGeAlD
Clonidine—CYP2D6—cerebellum—bipolar disorder	0.00155	0.00551	CbGeAlD
Clonidine—ABCB1—thyroid gland—bipolar disorder	0.00141	0.005	CbGeAlD
Clonidine—CYP2D6—brain—bipolar disorder	0.00126	0.00447	CbGeAlD
Clonidine—ABCB1—nervous system—bipolar disorder	0.00118	0.00421	CbGeAlD
Clonidine—ABCB1—cerebellum—bipolar disorder	0.00111	0.00396	CbGeAlD
Clonidine—ABCB1—brain—bipolar disorder	0.000905	0.00322	CbGeAlD
Clonidine—CYP3A5—Metabolism—CLOCK—bipolar disorder	9.32e-05	0.000133	CbGpPWpGaD
Clonidine—CYP1A2—Metabolism—AKR1C4—bipolar disorder	9.22e-05	0.000132	CbGpPWpGaD
Clonidine—ADRA1B—GPCR downstream signaling—HTR2A—bipolar disorder	9.18e-05	0.000131	CbGpPWpGaD
Clonidine—CYP2D6—Metabolism—SLC5A3—bipolar disorder	9.16e-05	0.000131	CbGpPWpGaD
Clonidine—ADRA1A—Signaling Pathways—ADM—bipolar disorder	9.15e-05	0.000131	CbGpPWpGaD
Clonidine—ADRA1D—Signaling Pathways—DRD4—bipolar disorder	9.09e-05	0.00013	CbGpPWpGaD
