nodes	percent_of_prediction	percent_of_DWPC	metapath
Fluphenazine—DRD1—obesity	0.0984	0.264	CbGaD
Fluphenazine—HTR2C—obesity	0.0842	0.226	CbGaD
Fluphenazine—DRD2—obesity	0.0694	0.186	CbGaD
Fluphenazine—CYP2E1—obesity	0.0668	0.179	CbGaD
Fluphenazine—Promazine—Benzphetamine—obesity	0.0647	1	CrCrCtD
Fluphenazine—DRD1—Phenylpropanolamine—obesity	0.0613	0.183	CbGbCtD
Fluphenazine—HTR2A—obesity	0.0536	0.144	CbGaD
Fluphenazine—ADRA2A—Benzphetamine—obesity	0.0424	0.126	CbGbCtD
Fluphenazine—ADRA2A—Phenylpropanolamine—obesity	0.0404	0.12	CbGbCtD
Fluphenazine—ADRA2A—Methamphetamine—obesity	0.0339	0.101	CbGbCtD
Fluphenazine—CYP2E1—Bupropion—obesity	0.0252	0.0749	CbGbCtD
Fluphenazine—CYP2E1—Cimetidine—obesity	0.0185	0.055	CbGbCtD
Fluphenazine—CYP1A2—Phentermine—obesity	0.0171	0.051	CbGbCtD
Fluphenazine—CYP1A2—Phenylpropanolamine—obesity	0.0163	0.0486	CbGbCtD
Fluphenazine—CYP1A2—Bupropion—obesity	0.0145	0.0433	CbGbCtD
Fluphenazine—CYP2D6—Phentermine—obesity	0.0141	0.042	CbGbCtD
Fluphenazine—CYP2D6—Bupropion—obesity	0.012	0.0357	CbGbCtD
Fluphenazine—CYP2D6—Methamphetamine—obesity	0.0113	0.0336	CbGbCtD
Fluphenazine—CYP1A2—Cimetidine—obesity	0.0107	0.0318	CbGbCtD
Fluphenazine—ABCB1—Cimetidine—obesity	0.00934	0.0278	CbGbCtD
Fluphenazine—CYP2D6—Cimetidine—obesity	0.0088	0.0262	CbGbCtD
Fluphenazine—Pseudoparkinsonism—Bupropion—obesity	0.00411	0.049	CcSEcCtD
Fluphenazine—CALM1—sympathetic nervous system—obesity	0.00255	0.0831	CbGeAlD
Fluphenazine—CALM1—autonomic nervous system—obesity	0.00172	0.0558	CbGeAlD
Fluphenazine—HTR2A—sympathetic nervous system—obesity	0.00156	0.0506	CbGeAlD
Fluphenazine—HTR2A—vagus nerve—obesity	0.00151	0.049	CbGeAlD
Fluphenazine—Liver injury—Phenylpropanolamine—obesity	0.00139	0.0166	CcSEcCtD
Fluphenazine—Dyskinesia—Phenylpropanolamine—obesity	0.00124	0.0148	CcSEcCtD
Fluphenazine—Hepatocellular injury—Phenylpropanolamine—obesity	0.00117	0.0139	CcSEcCtD
Fluphenazine—Tardive dyskinesia—Bupropion—obesity	0.00116	0.0138	CcSEcCtD
Fluphenazine—Liver injury—Cimetidine—obesity	0.0011	0.0131	CcSEcCtD
Fluphenazine—HTR2A—autonomic nervous system—obesity	0.00105	0.034	CbGeAlD
Fluphenazine—Dyskinesia—Diethylpropion—obesity	0.00103	0.0123	CcSEcCtD
Fluphenazine—Appetite absent—Orlistat—obesity	0.00103	0.0123	CcSEcCtD
Fluphenazine—Parkinsonism—Bupropion—obesity	0.000948	0.0113	CcSEcCtD
Fluphenazine—Menstruation irregular—Orlistat—obesity	0.000922	0.011	CcSEcCtD
Fluphenazine—Akathisia—Sibutramine—obesity	0.000892	0.0107	CcSEcCtD
Fluphenazine—Urine output increased—Diethylpropion—obesity	0.000878	0.0105	CcSEcCtD
Fluphenazine—Gynaecomastia—Diethylpropion—obesity	0.000869	0.0104	CcSEcCtD
Fluphenazine—Appetite absent—Bupropion—obesity	0.000865	0.0103	CcSEcCtD
Fluphenazine—Muscle rigidity—Bupropion—obesity	0.000842	0.0101	CcSEcCtD
Fluphenazine—Gynaecomastia—Cimetidine—obesity	0.000827	0.00988	CcSEcCtD
Fluphenazine—Libido increased—Sibutramine—obesity	0.000812	0.0097	CcSEcCtD
Fluphenazine—Polyuria—Diethylpropion—obesity	0.000803	0.00959	CcSEcCtD
Fluphenazine—Akathisia—Bupropion—obesity	0.000778	0.00929	CcSEcCtD
Fluphenazine—Menstruation irregular—Bupropion—obesity	0.000778	0.00929	CcSEcCtD
Fluphenazine—Cardiac arrest—Phentermine—obesity	0.000771	0.00921	CcSEcCtD
Fluphenazine—HTR1A—hindbrain—obesity	0.000739	0.024	CbGeAlD
Fluphenazine—CALM2—hindbrain—obesity	0.000727	0.0236	CbGeAlD
Fluphenazine—CALM1—hindbrain—obesity	0.000723	0.0235	CbGeAlD
Fluphenazine—CALM2—gall bladder—obesity	0.000717	0.0233	CbGeAlD
Fluphenazine—Dermatitis exfoliative—Cimetidine—obesity	0.000711	0.00849	CcSEcCtD
Fluphenazine—Libido increased—Bupropion—obesity	0.000708	0.00845	CcSEcCtD
Fluphenazine—DRD2—hindbrain—obesity	0.000668	0.0217	CbGeAlD
Fluphenazine—Glaucoma—Sibutramine—obesity	0.000656	0.00784	CcSEcCtD
Fluphenazine—Drowsiness—Phenylpropanolamine—obesity	0.000653	0.0078	CcSEcCtD
Fluphenazine—Agitation—Methamphetamine—obesity	0.000625	0.00746	CcSEcCtD
Fluphenazine—Blood disorder—Orlistat—obesity	0.000611	0.0073	CcSEcCtD
Fluphenazine—Agitation—Benzphetamine—obesity	0.000602	0.00719	CcSEcCtD
Fluphenazine—CALM3—islet of Langerhans—obesity	0.000598	0.0195	CbGeAlD
Fluphenazine—Dermatitis atopic—Bupropion—obesity	0.000582	0.00695	CcSEcCtD
Fluphenazine—Pancytopenia—Diethylpropion—obesity	0.000579	0.00691	CcSEcCtD
Fluphenazine—Extrapyramidal disorder—Bupropion—obesity	0.000572	0.00683	CcSEcCtD
Fluphenazine—Vision blurred—Phendimetrazine—obesity	0.000563	0.00672	CcSEcCtD
Fluphenazine—Pancytopenia—Cimetidine—obesity	0.000551	0.00658	CcSEcCtD
Fluphenazine—Agitation—Phendimetrazine—obesity	0.000549	0.00656	CcSEcCtD
Fluphenazine—Drowsiness—Diethylpropion—obesity	0.000544	0.00649	CcSEcCtD
Fluphenazine—Tachycardia—Methamphetamine—obesity	0.000541	0.00647	CcSEcCtD
Fluphenazine—Leukocytosis—Sibutramine—obesity	0.000526	0.00628	CcSEcCtD
Fluphenazine—Tachycardia—Benzphetamine—obesity	0.000522	0.00623	CcSEcCtD
Fluphenazine—Pneumonia—Cimetidine—obesity	0.00052	0.00621	CcSEcCtD
Fluphenazine—Drowsiness—Cimetidine—obesity	0.000517	0.00618	CcSEcCtD
Fluphenazine—Liver injury—Bupropion—obesity	0.000512	0.00611	CcSEcCtD
Fluphenazine—Agranulocytosis—Diethylpropion—obesity	0.000507	0.00606	CcSEcCtD
Fluphenazine—Abnormal dreams—Sibutramine—obesity	0.000488	0.00583	CcSEcCtD
Fluphenazine—Agranulocytosis—Cimetidine—obesity	0.000483	0.00576	CcSEcCtD
Fluphenazine—Vision blurred—Phenylpropanolamine—obesity	0.000481	0.00574	CcSEcCtD
Fluphenazine—Salivary hypersecretion—Sibutramine—obesity	0.00048	0.00573	CcSEcCtD
Fluphenazine—Tachycardia—Phendimetrazine—obesity	0.000476	0.00568	CcSEcCtD
Fluphenazine—Constipation—Methamphetamine—obesity	0.000474	0.00567	CcSEcCtD
Fluphenazine—CALM3—adrenal cortex—obesity	0.000474	0.0154	CbGeAlD
Fluphenazine—CALM2—islet of Langerhans—obesity	0.00047	0.0153	CbGeAlD
Fluphenazine—Agitation—Phenylpropanolamine—obesity	0.000469	0.0056	CcSEcCtD
Fluphenazine—CALM1—islet of Langerhans—obesity	0.000468	0.0152	CbGeAlD
Fluphenazine—Decreased appetite—Benzphetamine—obesity	0.000465	0.00555	CcSEcCtD
Fluphenazine—Urine output increased—Orlistat—obesity	0.000461	0.00551	CcSEcCtD
Fluphenazine—Dyskinesia—Bupropion—obesity	0.000458	0.00547	CcSEcCtD
Fluphenazine—Leukocytosis—Bupropion—obesity	0.000458	0.00547	CcSEcCtD
Fluphenazine—Libido increased—Topiramate—obesity	0.000451	0.00539	CcSEcCtD
Fluphenazine—Agitation—Phentermine—obesity	0.000449	0.00536	CcSEcCtD
Fluphenazine—CALM2—respiratory system—obesity	0.000444	0.0144	CbGeAlD
