nodes	percent_of_prediction	percent_of_DWPC	metapath
Benzocaine—CES1—Capecitabine—stomach cancer	0.405	0.494	CbGbCtD
Benzocaine—CES1—Irinotecan—stomach cancer	0.25	0.305	CbGbCtD
Benzocaine—ABCB1—Mitomycin—stomach cancer	0.0961	0.117	CbGbCtD
Benzocaine—ABCB1—Irinotecan—stomach cancer	0.0247	0.03	CbGbCtD
Benzocaine—ABCB1—Docetaxel—stomach cancer	0.0181	0.022	CbGbCtD
Benzocaine—ABCB1—Doxorubicin—stomach cancer	0.0135	0.0164	CbGbCtD
Benzocaine—ABCB1—Methotrexate—stomach cancer	0.013	0.0159	CbGbCtD
Benzocaine—Oral discomfort—Capecitabine—stomach cancer	0.00801	0.184	CcSEcCtD
Benzocaine—CES1—gall bladder—stomach cancer	0.00299	0.0971	CbGeAlD
Benzocaine—SCN11A—digestive system—stomach cancer	0.00222	0.072	CbGeAlD
Benzocaine—Procainamide—DNMT1—stomach cancer	0.00179	0.42	CrCbGaD
Benzocaine—Erythema—Floxuridine—stomach cancer	0.00177	0.0407	CcSEcCtD
Benzocaine—CES1—hematopoietic system—stomach cancer	0.00169	0.0549	CbGeAlD
Benzocaine—SCN2A—hematopoietic system—stomach cancer	0.00168	0.0544	CbGeAlD
Benzocaine—SCN10A—hematopoietic system—stomach cancer	0.00162	0.0525	CbGeAlD
Benzocaine—SCN7A—endocrine gland—stomach cancer	0.00156	0.0506	CbGeAlD
Benzocaine—Tenderness—Fluorouracil—stomach cancer	0.00151	0.0348	CcSEcCtD
Benzocaine—Respiratory distress—Capecitabine—stomach cancer	0.00145	0.0334	CcSEcCtD
Benzocaine—Clofibrate—CYP2A6—stomach cancer	0.00143	0.335	CrCbGaD
Benzocaine—Redness—Docetaxel—stomach cancer	0.00141	0.0325	CcSEcCtD
Benzocaine—SCN7A—liver—stomach cancer	0.00141	0.0456	CbGeAlD
Benzocaine—SCN8A—endocrine gland—stomach cancer	0.00139	0.0451	CbGeAlD
Benzocaine—Erythema—Mitomycin—stomach cancer	0.00139	0.0319	CcSEcCtD
Benzocaine—Dermatitis contact—Fluorouracil—stomach cancer	0.00131	0.03	CcSEcCtD
Benzocaine—CES1—lymphoid tissue—stomach cancer	0.00119	0.0387	CbGeAlD
Benzocaine—CES1—digestive system—stomach cancer	0.00118	0.0382	CbGeAlD
Benzocaine—SCN10A—lymphoid tissue—stomach cancer	0.00114	0.037	CbGeAlD
Benzocaine—Oedema—Mitomycin—stomach cancer	0.00113	0.0261	CcSEcCtD
Benzocaine—Swelling—Fluorouracil—stomach cancer	0.00109	0.025	CcSEcCtD
Benzocaine—SCN7A—lymph node—stomach cancer	0.00108	0.035	CbGeAlD
Benzocaine—Hypersensitivity—Floxuridine—stomach cancer	0.00106	0.0245	CcSEcCtD
Benzocaine—Sulfanilamide—CA2—stomach cancer	0.00105	0.245	CrCbGaD
Benzocaine—SCN5A—digestive system—stomach cancer	0.00102	0.0332	CbGeAlD
Benzocaine—Dyspnoea—Mitomycin—stomach cancer	0.00101	0.0232	CcSEcCtD
Benzocaine—CES1—endocrine gland—stomach cancer	0.000973	0.0316	CbGeAlD
Benzocaine—Cyanosis—Methotrexate—stomach cancer	0.000971	0.0223	CcSEcCtD
Benzocaine—SCN2A—endocrine gland—stomach cancer	0.000964	0.0313	CbGeAlD
Benzocaine—Redness—Epirubicin—stomach cancer	0.000953	0.0219	CcSEcCtD
Benzocaine—SCN3A—bone marrow—stomach cancer	0.000945	0.0307	CbGeAlD
Benzocaine—SCN10A—endocrine gland—stomach cancer	0.000929	0.0302	CbGeAlD
Benzocaine—Rash—Floxuridine—stomach cancer	0.000911	0.0209	CcSEcCtD
Benzocaine—Dermatitis—Floxuridine—stomach cancer	0.00091	0.0209	CcSEcCtD
Benzocaine—Redness—Doxorubicin—stomach cancer	0.000882	0.0203	CcSEcCtD
Benzocaine—CES1—liver—stomach cancer	0.000877	0.0285	CbGeAlD
Benzocaine—SCN9A—lymph node—stomach cancer	0.000844	0.0274	CbGeAlD
Benzocaine—Swelling—Docetaxel—stomach cancer	0.000785	0.0181	CcSEcCtD
Benzocaine—Swelling—Capecitabine—stomach cancer	0.00076	0.0175	CcSEcCtD
Benzocaine—ABCB1—blood vessel—stomach cancer	0.000745	0.0242	CbGeAlD
Benzocaine—Rash—Mitomycin—stomach cancer	0.000715	0.0164	CcSEcCtD
Benzocaine—Dermatitis—Mitomycin—stomach cancer	0.000714	0.0164	CcSEcCtD
Benzocaine—CES1—lymph node—stomach cancer	0.000672	0.0218	CbGeAlD
Benzocaine—SCN10A—lymph node—stomach cancer	0.000642	0.0209	CbGeAlD
Benzocaine—Dermatitis contact—Epirubicin—stomach cancer	0.000636	0.0146	CcSEcCtD
Benzocaine—Dermatitis contact—Doxorubicin—stomach cancer	0.000588	0.0135	CcSEcCtD
Benzocaine—SCN3A—lymph node—stomach cancer	0.000586	0.019	CbGeAlD
