nodes	percent_of_prediction	percent_of_DWPC	metapath
Donepezil—CYP2C9—cardial valve—anemia	0.128	0.217	CbGeAlD
Donepezil—HTR2A—arteriole—anemia	0.0649	0.11	CbGeAlD
Donepezil—HRH3—hematopoietic system—anemia	0.0338	0.0575	CbGeAlD
Donepezil—CYP2C9—urine—anemia	0.0275	0.0468	CbGeAlD
Donepezil—HRH3—digestive system—anemia	0.0235	0.04	CbGeAlD
Donepezil—HTR2A—urine—anemia	0.0227	0.0386	CbGeAlD
Donepezil—HRH3—blood—anemia	0.0224	0.0381	CbGeAlD
Donepezil—CYP3A4—urine—anemia	0.021	0.0357	CbGeAlD
Donepezil—CYP2D6—urine—anemia	0.0206	0.0351	CbGeAlD
Donepezil—CYP2C9—blood plasma—anemia	0.0144	0.0244	CbGeAlD
Donepezil—HTR2A—endothelium—anemia	0.0133	0.0227	CbGeAlD
Donepezil—HTR2A—blood plasma—anemia	0.0118	0.0201	CbGeAlD
Donepezil—SIGMAR1—nephron tubule—anemia	0.0114	0.0195	CbGeAlD
Donepezil—CYP3A4—blood plasma—anemia	0.0109	0.0186	CbGeAlD
Donepezil—CYP2D6—blood plasma—anemia	0.0108	0.0183	CbGeAlD
Donepezil—Moexipril—ACE—anemia	0.0102	1	CrCbGaD
Donepezil—SIGMAR1—cortex of kidney—anemia	0.0098	0.0167	CbGeAlD
Donepezil—SIGMAR1—blood—anemia	0.00813	0.0138	CbGeAlD
Donepezil—CYP2C9—hematopoietic system—anemia	0.00794	0.0135	CbGeAlD
Donepezil—SIGMAR1—bone marrow—anemia	0.00787	0.0134	CbGeAlD
Donepezil—HTR2A—embryo—anemia	0.00733	0.0125	CbGeAlD
Donepezil—HTR2A—hematopoietic system—anemia	0.00654	0.0111	CbGeAlD
Donepezil—SIGMAR1—liver—anemia	0.00636	0.0108	CbGeAlD
Donepezil—CYP3A4—hematopoietic system—anemia	0.00605	0.0103	CbGeAlD
Donepezil—CYP2D6—hematopoietic system—anemia	0.00596	0.0101	CbGeAlD
Donepezil—CYP2C9—digestive system—anemia	0.00552	0.00939	CbGeAlD
Donepezil—HTR2A—kidney—anemia	0.00536	0.00912	CbGeAlD
Donepezil—CYP2C9—blood—anemia	0.00526	0.00895	CbGeAlD
Donepezil—HTR2A—gonad—anemia	0.00497	0.00846	CbGeAlD
Donepezil—CYP3A4—kidney—anemia	0.00496	0.00844	CbGeAlD
Donepezil—CYP2D6—kidney—anemia	0.00488	0.00831	CbGeAlD
Donepezil—CYP2C9—endocrine gland—anemia	0.00456	0.00776	CbGeAlD
Donepezil—HTR2A—digestive system—anemia	0.00455	0.00774	CbGeAlD
Donepezil—HTR2A—blood—anemia	0.00433	0.00737	CbGeAlD
Donepezil—CYP3A4—digestive system—anemia	0.00421	0.00716	CbGeAlD
Donepezil—CYP2D6—digestive system—anemia	0.00414	0.00705	CbGeAlD
Donepezil—CYP2C9—liver—anemia	0.00411	0.007	CbGeAlD
Donepezil—CYP3A4—blood—anemia	0.00401	0.00682	CbGeAlD
Donepezil—CYP2D6—blood—anemia	0.00395	0.00672	CbGeAlD
Donepezil—HTR2A—endocrine gland—anemia	0.00376	0.00639	CbGeAlD
Donepezil—CYP3A4—endocrine gland—anemia	0.00348	0.00592	CbGeAlD
Donepezil—CYP2D6—endocrine gland—anemia	0.00342	0.00582	CbGeAlD
Donepezil—HTR2A—liver—anemia	0.00339	0.00576	CbGeAlD
Donepezil—CYP3A4—liver—anemia	0.00314	0.00534	CbGeAlD
Donepezil—CYP2D6—liver—anemia	0.00309	0.00525	CbGeAlD
