nodes	percent_of_prediction	percent_of_DWPC	metapath
Afatinib—Vandetanib—RIPK2—leprosy	0.0412	1	CrCbGaD
Afatinib—Disease progression—Thalidomide—leprosy	0.0216	0.136	CcSEcCtD
Afatinib—Aphthous stomatitis—Thalidomide—leprosy	0.0101	0.0635	CcSEcCtD
Afatinib—ERBB2—skin of body—leprosy	0.00916	0.0692	CbGeAlD
Afatinib—HIPK4—testis—leprosy	0.00842	0.0637	CbGeAlD
Afatinib—PHKG2—tendon—leprosy	0.00775	0.0586	CbGeAlD
Afatinib—ERBB4—tendon—leprosy	0.00697	0.0527	CbGeAlD
Afatinib—Interstitial lung disease—Thalidomide—leprosy	0.00668	0.0421	CcSEcCtD
Afatinib—EPHA6—testis—leprosy	0.00666	0.0503	CbGeAlD
Afatinib—EPHA6—nervous system—leprosy	0.00653	0.0494	CbGeAlD
Afatinib—PHKG2—testis—leprosy	0.00642	0.0485	CbGeAlD
Afatinib—PHKG2—nervous system—leprosy	0.0063	0.0476	CbGeAlD
Afatinib—Nasopharyngitis—Dapsone—leprosy	0.00599	0.0378	CcSEcCtD
Afatinib—ERBB2—testis—leprosy	0.00577	0.0436	CbGeAlD
Afatinib—ERBB4—testis—leprosy	0.00577	0.0436	CbGeAlD
Afatinib—ERBB2—nervous system—leprosy	0.00567	0.0428	CbGeAlD
Afatinib—ERBB4—nervous system—leprosy	0.00567	0.0428	CbGeAlD
Afatinib—DYRK1A—testis—leprosy	0.00556	0.042	CbGeAlD
Afatinib—DYRK1A—nervous system—leprosy	0.00545	0.0412	CbGeAlD
Afatinib—IRAK1—tendon—leprosy	0.00521	0.0394	CbGeAlD
Afatinib—EGFR—testis—leprosy	0.00489	0.037	CbGeAlD
Afatinib—ABL1—eye—leprosy	0.00441	0.0333	CbGeAlD
Afatinib—Dry eye—Thalidomide—leprosy	0.00436	0.0275	CcSEcCtD
Afatinib—IRAK1—testis—leprosy	0.00432	0.0326	CbGeAlD
Afatinib—LCK—testis—leprosy	0.00421	0.0318	CbGeAlD
Afatinib—Sepsis—Thalidomide—leprosy	0.0041	0.0258	CcSEcCtD
Afatinib—ABL1—skin of body—leprosy	0.00384	0.029	CbGeAlD
Afatinib—Cough—Dapsone—leprosy	0.00352	0.0222	CcSEcCtD
Afatinib—Dehydration—Thalidomide—leprosy	0.00319	0.0201	CcSEcCtD
Afatinib—Dry skin—Thalidomide—leprosy	0.00314	0.0198	CcSEcCtD
Afatinib—Hypokalaemia—Thalidomide—leprosy	0.00312	0.0197	CcSEcCtD
Afatinib—Aspartate aminotransferase increased—Thalidomide—leprosy	0.00309	0.0195	CcSEcCtD
