nodes	percent_of_prediction	percent_of_DWPC	metapath
Lamotrigine—Decreased Central Nervous System Disorganized Electrical Activity—Topiramate—obesity	0.491	1	CiPCiCtD
Lamotrigine—bipolar disorder—Topiramate—obesity	0.282	1	CpDpCtD
Lamotrigine—SCN1A—Topiramate—obesity	0.0468	0.528	CbGbCtD
Lamotrigine—SCN5A—Topiramate—obesity	0.032	0.361	CbGbCtD
Lamotrigine—ABCB1—Cimetidine—obesity	0.00991	0.112	CbGbCtD
Lamotrigine—SCN8A—hindbrain—obesity	0.00125	0.0889	CbGeAlD
Lamotrigine—UGT1A4—respiratory system—obesity	0.000961	0.0684	CbGeAlD
Lamotrigine—SCN1A—hindbrain—obesity	0.000945	0.0672	CbGeAlD
Lamotrigine—SCN2A—hindbrain—obesity	0.000868	0.0617	CbGeAlD
Lamotrigine—UGT1A3—digestive system—obesity	0.000719	0.0511	CbGeAlD
Lamotrigine—UGT1A4—digestive system—obesity	0.000611	0.0435	CbGeAlD
Lamotrigine—UGT1A3—endocrine gland—obesity	0.000594	0.0422	CbGeAlD
Lamotrigine—UGT1A3—liver—obesity	0.000536	0.0381	CbGeAlD
Lamotrigine—UGT1A4—endocrine gland—obesity	0.000505	0.0359	CbGeAlD
Lamotrigine—UGT1A4—liver—obesity	0.000455	0.0324	CbGeAlD
Lamotrigine—SCN9A—pituitary gland—obesity	0.000455	0.0324	CbGeAlD
Lamotrigine—SCN9A—adipose tissue—obesity	0.000453	0.0322	CbGeAlD
Lamotrigine—SCN9A—adrenal gland—obesity	0.000407	0.0289	CbGeAlD
Lamotrigine—SCN4A—pituitary gland—obesity	0.000406	0.0289	CbGeAlD
Lamotrigine—SCN4A—adipose tissue—obesity	0.000404	0.0288	CbGeAlD
Lamotrigine—SCN8A—endocrine gland—obesity	0.000401	0.0285	CbGeAlD
Lamotrigine—SCN4A—adrenal gland—obesity	0.000363	0.0258	CbGeAlD
Lamotrigine—SCN2A—pituitary gland—obesity	0.000359	0.0256	CbGeAlD
Lamotrigine—SCN5A—cardiovascular system—obesity	0.000356	0.0253	CbGeAlD
Lamotrigine—SCN10A—pituitary gland—obesity	0.000347	0.0246	CbGeAlD
Lamotrigine—SCN3A—pituitary gland—obesity	0.000316	0.0225	CbGeAlD
Lamotrigine—SCN3A—adipose tissue—obesity	0.000315	0.0224	CbGeAlD
Lamotrigine—SCN5A—digestive system—obesity	0.000295	0.021	CbGeAlD
Lamotrigine—SCN3A—adrenal gland—obesity	0.000282	0.0201	CbGeAlD
Lamotrigine—SCN2A—endocrine gland—obesity	0.000278	0.0198	CbGeAlD
