nodes	percent_of_prediction	percent_of_DWPC	metapath
Pethidine—CYP3A4—type 2 diabetes mellitus	0.129	0.534	CbGaD
Pethidine—ALB—type 2 diabetes mellitus	0.112	0.466	CbGaD
Pethidine—ORM1—Nateglinide—type 2 diabetes mellitus	0.0545	0.11	CbGbCtD
Pethidine—ALB—Gliclazide—type 2 diabetes mellitus	0.0356	0.0721	CbGbCtD
Pethidine—ALB—Repaglinide—type 2 diabetes mellitus	0.0335	0.0678	CbGbCtD
Pethidine—ALB—Rosiglitazone—type 2 diabetes mellitus	0.0279	0.0566	CbGbCtD
Pethidine—ALB—Valsartan—type 2 diabetes mellitus	0.0247	0.05	CbGbCtD
Pethidine—CYP2C19—Gliclazide—type 2 diabetes mellitus	0.0231	0.0468	CbGbCtD
Pethidine—ALB—Nateglinide—type 2 diabetes mellitus	0.0229	0.0465	CbGbCtD
Pethidine—CYP2C19—Chlorpropamide—type 2 diabetes mellitus	0.0196	0.0398	CbGbCtD
Pethidine—CYP2C19—Pioglitazone—type 2 diabetes mellitus	0.0196	0.0398	CbGbCtD
Pethidine—CYP2C19—Rosiglitazone—type 2 diabetes mellitus	0.0181	0.0367	CbGbCtD
Pethidine—CYP2C19—Tolbutamide—type 2 diabetes mellitus	0.0175	0.0354	CbGbCtD
Pethidine—ALB—Glyburide—type 2 diabetes mellitus	0.0155	0.0314	CbGbCtD
Pethidine—CYP2D6—Pioglitazone—type 2 diabetes mellitus	0.0149	0.0302	CbGbCtD
Pethidine—CYP3A4—Linagliptin—type 2 diabetes mellitus	0.0147	0.0298	CbGbCtD
Pethidine—ALB—Losartan—type 2 diabetes mellitus	0.0142	0.0287	CbGbCtD
Pethidine—CYP2D6—Rosiglitazone—type 2 diabetes mellitus	0.0138	0.0279	CbGbCtD
Pethidine—CYP3A4—Sitagliptin—type 2 diabetes mellitus	0.0131	0.0266	CbGbCtD
Pethidine—CYP3A4—Glipizide—type 2 diabetes mellitus	0.012	0.0243	CbGbCtD
Pethidine—CYP2D6—Nateglinide—type 2 diabetes mellitus	0.0113	0.0229	CbGbCtD
Pethidine—CYP2D6—Irbesartan—type 2 diabetes mellitus	0.0108	0.022	CbGbCtD
Pethidine—CYP3A4—Repaglinide—type 2 diabetes mellitus	0.0105	0.0213	CbGbCtD
Pethidine—CYP2C19—Glyburide—type 2 diabetes mellitus	0.01	0.0204	CbGbCtD
Pethidine—CYP3A4—Pioglitazone—type 2 diabetes mellitus	0.00948	0.0192	CbGbCtD
Pethidine—CYP2C19—Losartan—type 2 diabetes mellitus	0.00918	0.0186	CbGbCtD
Pethidine—CYP3A4—Nateglinide—type 2 diabetes mellitus	0.00719	0.0146	CbGbCtD
Pethidine—CYP3A4—Orlistat—type 2 diabetes mellitus	0.00689	0.014	CbGbCtD
Pethidine—CYP3A4—Irbesartan—type 2 diabetes mellitus	0.00689	0.014	CbGbCtD
Pethidine—CYP3A4—Bromocriptine—type 2 diabetes mellitus	0.00651	0.0132	CbGbCtD
Pethidine—CYP3A4—Glyburide—type 2 diabetes mellitus	0.00485	0.00984	CbGbCtD
Pethidine—CYP3A4—Losartan—type 2 diabetes mellitus	0.00444	0.009	CbGbCtD
Pethidine—GRIN2C—nerve—type 2 diabetes mellitus	0.00334	0.177	CbGeAlD
Pethidine—SLC6A2—sympathetic nervous system—type 2 diabetes mellitus	0.00272	0.144	CbGeAlD
Pethidine—GRIN2B—nerve—type 2 diabetes mellitus	0.00264	0.14	CbGeAlD
Pethidine—GRIN2A—nerve—type 2 diabetes mellitus	0.00231	0.122	CbGeAlD
Pethidine—Etomidate—SLC2A1—type 2 diabetes mellitus	0.00226	0.604	CrCbGaD
Pethidine—SLC6A2—autonomic nervous system—type 2 diabetes mellitus	0.00183	0.0965	CbGeAlD
Pethidine—OPRM1—nerve—type 2 diabetes mellitus	0.0014	0.0742	CbGeAlD
Pethidine—SLC6A3—nerve—type 2 diabetes mellitus	0.00127	0.0673	CbGeAlD
Pethidine—SLC6A2—nerve—type 2 diabetes mellitus	0.00103	0.0543	CbGeAlD
Pethidine—Glutethimide—CYP11A1—type 2 diabetes mellitus	0.000845	0.226	CrCbGaD
Pethidine—Ketobemidone—CYP3A4—type 2 diabetes mellitus	0.000375	0.1	CrCbGaD
Pethidine—ORM1—liver—type 2 diabetes mellitus	0.000297	0.0157	CbGeAlD
Pethidine—CYP2B6—nephron tubule—type 2 diabetes mellitus	0.000295	0.0156	CbGeAlD
Pethidine—CYP2B6—cardiovascular system—type 2 diabetes mellitus	0.000265	0.014	CbGeAlD
Pethidine—Levomilnacipran—CYP3A4—type 2 diabetes mellitus	0.000264	0.0705	CrCbGaD
Pethidine—ALB—liver—type 2 diabetes mellitus	0.00026	0.0138	CbGeAlD
Pethidine—CYP2B6—kidney—type 2 diabetes mellitus	0.000259	0.0137	CbGeAlD
Pethidine—Rash—Rosiglitazone—type 2 diabetes mellitus	0.000226	0.00166	CcSEcCtD
Pethidine—Constipation—Bromocriptine—type 2 diabetes mellitus	0.000226	0.00165	CcSEcCtD
Pethidine—Dermatitis—Rosiglitazone—type 2 diabetes mellitus	0.000226	0.00165	CcSEcCtD
Pethidine—Hypotension—Glyburide—type 2 diabetes mellitus	0.000226	0.00165	CcSEcCtD
Pethidine—Anxiety—Gliclazide—type 2 diabetes mellitus	0.000226	0.00165	CcSEcCtD
Pethidine—Nausea—Repaglinide—type 2 diabetes mellitus	0.000225	0.00165	CcSEcCtD
Pethidine—Asthenia—Glipizide—type 2 diabetes mellitus	0.000225	0.00165	CcSEcCtD
Pethidine—Headache—Rosiglitazone—type 2 diabetes mellitus	0.000225	0.00165	CcSEcCtD
Pethidine—Flushing—Irbesartan—type 2 diabetes mellitus	0.000224	0.00164	CcSEcCtD
Pethidine—Erythema—Metformin—type 2 diabetes mellitus	0.000222	0.00163	CcSEcCtD
Pethidine—Pruritus—Glipizide—type 2 diabetes mellitus	0.000222	0.00163	CcSEcCtD
Pethidine—Hypersensitivity—Pioglitazone—type 2 diabetes mellitus	0.000222	0.00162	CcSEcCtD
Pethidine—Dry mouth—Gliclazide—type 2 diabetes mellitus	0.000221	0.00162	CcSEcCtD
Pethidine—Vertigo—Valsartan—type 2 diabetes mellitus	0.000219	0.00161	CcSEcCtD
Pethidine—Syncope—Valsartan—type 2 diabetes mellitus	0.000219	0.0016	CcSEcCtD
Pethidine—Confusional state—Gliclazide—type 2 diabetes mellitus	0.000219	0.0016	CcSEcCtD
Pethidine—Feeling abnormal—Bromocriptine—type 2 diabetes mellitus	0.000218	0.00159	CcSEcCtD
Pethidine—Vertigo—Orlistat—type 2 diabetes mellitus	0.000217	0.00159	CcSEcCtD
Pethidine—Hypersensitivity—Glimepiride—type 2 diabetes mellitus	0.000216	0.00158	CcSEcCtD
Pethidine—Palpitations—Valsartan—type 2 diabetes mellitus	0.000216	0.00158	CcSEcCtD
Pethidine—Asthenia—Pioglitazone—type 2 diabetes mellitus	0.000216	0.00158	CcSEcCtD
Pethidine—Hypersensitivity—Sitagliptin—type 2 diabetes mellitus	0.000215	0.00158	CcSEcCtD
Pethidine—Loss of consciousness—Valsartan—type 2 diabetes mellitus	0.000215	0.00157	CcSEcCtD
Pethidine—Muscle spasms—Metformin—type 2 diabetes mellitus	0.000214	0.00157	CcSEcCtD
Pethidine—Palpitations—Orlistat—type 2 diabetes mellitus	0.000213	0.00156	CcSEcCtD
Pethidine—Nausea—Rosiglitazone—type 2 diabetes mellitus	0.000213	0.00156	CcSEcCtD
Pethidine—Tachycardia—Gliclazide—type 2 diabetes mellitus	0.000212	0.00155	CcSEcCtD
Pethidine—Flushing—Losartan—type 2 diabetes mellitus	0.000211	0.00154	CcSEcCtD
Pethidine—Asthenia—Glimepiride—type 2 diabetes mellitus	0.00021	0.00154	CcSEcCtD
Pethidine—Decreased appetite—Glyburide—type 2 diabetes mellitus	0.00021	0.00154	CcSEcCtD
Pethidine—Urticaria—Bromocriptine—type 2 diabetes mellitus	0.00021	0.00154	CcSEcCtD
Pethidine—Erythema—Irbesartan—type 2 diabetes mellitus	0.00021	0.00154	CcSEcCtD
Pethidine—Hyperhidrosis—Gliclazide—type 2 diabetes mellitus	0.00021	0.00154	CcSEcCtD
Pethidine—Asthenia—Sitagliptin—type 2 diabetes mellitus	0.00021	0.00153	CcSEcCtD
Pethidine—CYP2C19—liver—type 2 diabetes mellitus	0.000209	0.0111	CbGeAlD
Pethidine—Convulsion—Orlistat—type 2 diabetes mellitus	0.000209	0.00153	CcSEcCtD
Pethidine—Tremor—Metformin—type 2 diabetes mellitus	0.000208	0.00153	CcSEcCtD
Pethidine—Sweating—Ramipril—type 2 diabetes mellitus	0.000208	0.00152	CcSEcCtD
Pethidine—Dizziness—Glipizide—type 2 diabetes mellitus	0.000208	0.00152	CcSEcCtD
Pethidine—Pruritus—Glimepiride—type 2 diabetes mellitus	0.000207	0.00152	CcSEcCtD
Pethidine—Anxiety—Valsartan—type 2 diabetes mellitus	0.000207	0.00152	CcSEcCtD
Pethidine—Anxiety—Orlistat—type 2 diabetes mellitus	0.000205	0.0015	CcSEcCtD
Pethidine—Dry mouth—Valsartan—type 2 diabetes mellitus	0.000203	0.00149	CcSEcCtD
Pethidine—Hypotension—Gliclazide—type 2 diabetes mellitus	0.000203	0.00148	CcSEcCtD
Pethidine—Muscle spasms—Irbesartan—type 2 diabetes mellitus	0.000202	0.00148	CcSEcCtD
Pethidine—Dry mouth—Orlistat—type 2 diabetes mellitus	0.000201	0.00147	CcSEcCtD
Pethidine—Vomiting—Glipizide—type 2 diabetes mellitus	0.0002	0.00146	CcSEcCtD
Pethidine—Syncope—Metformin—type 2 diabetes mellitus	0.000199	0.00146	CcSEcCtD
Pethidine—Anaphylactic shock—Valsartan—type 2 diabetes mellitus	0.000199	0.00146	CcSEcCtD
Pethidine—Oedema—Valsartan—type 2 diabetes mellitus	0.000199	0.00146	CcSEcCtD
Pethidine—Feeling abnormal—Glyburide—type 2 diabetes mellitus	0.000199	0.00146	CcSEcCtD
Pethidine—Dizziness—Pioglitazone—type 2 diabetes mellitus	0.000199	0.00146	CcSEcCtD
Pethidine—Rash—Glipizide—type 2 diabetes mellitus	0.000198	0.00145	CcSEcCtD
Pethidine—Dermatitis—Glipizide—type 2 diabetes mellitus	0.000198	0.00145	CcSEcCtD
Pethidine—Erythema—Losartan—type 2 diabetes mellitus	0.000198	0.00145	CcSEcCtD
Pethidine—Oedema—Orlistat—type 2 diabetes mellitus	0.000197	0.00144	CcSEcCtD
Pethidine—Anaphylactic shock—Orlistat—type 2 diabetes mellitus	0.000197	0.00144	CcSEcCtD
Pethidine—Headache—Glipizide—type 2 diabetes mellitus	0.000197	0.00144	CcSEcCtD
Pethidine—Tremor—Irbesartan—type 2 diabetes mellitus	0.000197	0.00144	CcSEcCtD
Pethidine—Palpitations—Metformin—type 2 diabetes mellitus	0.000197	0.00144	CcSEcCtD
Pethidine—Insomnia—Gliclazide—type 2 diabetes mellitus	0.000196	0.00144	CcSEcCtD
Pethidine—Shock—Valsartan—type 2 diabetes mellitus	0.000196	0.00144	CcSEcCtD
Pethidine—CYP3A4—kidney—type 2 diabetes mellitus	0.000196	0.0104	CbGeAlD
Pethidine—Loss of consciousness—Metformin—type 2 diabetes mellitus	0.000195	0.00143	CcSEcCtD
Pethidine—Dizziness—Glimepiride—type 2 diabetes mellitus	0.000194	0.00142	CcSEcCtD
Pethidine—Dizziness—Sitagliptin—type 2 diabetes mellitus	0.000193	0.00141	CcSEcCtD
Pethidine—Agitation—Irbesartan—type 2 diabetes mellitus	0.000193	0.00141	CcSEcCtD
Pethidine—Somnolence—Gliclazide—type 2 diabetes mellitus	0.000193	0.00141	CcSEcCtD
Pethidine—CYP2D6—kidney—type 2 diabetes mellitus	0.000193	0.0102	CbGeAlD
Pethidine—Hypertension—Metformin—type 2 diabetes mellitus	0.000192	0.00141	CcSEcCtD
Pethidine—Urticaria—Glyburide—type 2 diabetes mellitus	0.000192	0.00141	CcSEcCtD
Pethidine—Hyperhidrosis—Orlistat—type 2 diabetes mellitus	0.00019	0.00139	CcSEcCtD
Pethidine—Anorexia—Valsartan—type 2 diabetes mellitus	0.00019	0.00139	CcSEcCtD
Pethidine—Muscle spasms—Losartan—type 2 diabetes mellitus	0.00019	0.00139	CcSEcCtD
Pethidine—Asthenia—Bromocriptine—type 2 diabetes mellitus	0.00019	0.00139	CcSEcCtD
Pethidine—Vertigo—Irbesartan—type 2 diabetes mellitus	0.000189	0.00138	CcSEcCtD
Pethidine—Headache—Pioglitazone—type 2 diabetes mellitus	0.000188	0.00138	CcSEcCtD
Pethidine—Syncope—Irbesartan—type 2 diabetes mellitus	0.000188	0.00138	CcSEcCtD
Pethidine—Visual impairment—Ramipril—type 2 diabetes mellitus	0.000187	0.00137	CcSEcCtD
Pethidine—Nausea—Glipizide—type 2 diabetes mellitus	0.000186	0.00137	CcSEcCtD
Pethidine—Vomiting—Glimepiride—type 2 diabetes mellitus	0.000186	0.00136	CcSEcCtD
Pethidine—Hypotension—Valsartan—type 2 diabetes mellitus	0.000186	0.00136	CcSEcCtD
Pethidine—Vomiting—Sitagliptin—type 2 diabetes mellitus	0.000186	0.00136	CcSEcCtD
Pethidine—Constipation—Gliclazide—type 2 diabetes mellitus	0.000186	0.00136	CcSEcCtD
Pethidine—Tremor—Losartan—type 2 diabetes mellitus	0.000185	0.00136	CcSEcCtD
Pethidine—Rash—Glimepiride—type 2 diabetes mellitus	0.000185	0.00135	CcSEcCtD
Pethidine—Dermatitis—Glimepiride—type 2 diabetes mellitus	0.000185	0.00135	CcSEcCtD
Pethidine—Loss of consciousness—Irbesartan—type 2 diabetes mellitus	0.000184	0.00135	CcSEcCtD
Pethidine—Rash—Sitagliptin—type 2 diabetes mellitus	0.000184	0.00135	CcSEcCtD
Pethidine—Dermatitis—Sitagliptin—type 2 diabetes mellitus	0.000184	0.00135	CcSEcCtD
Pethidine—Headache—Glimepiride—type 2 diabetes mellitus	0.000184	0.00134	CcSEcCtD
Pethidine—Headache—Sitagliptin—type 2 diabetes mellitus	0.000183	0.00134	CcSEcCtD
Pethidine—Agitation—Losartan—type 2 diabetes mellitus	0.000182	0.00133	CcSEcCtD
Pethidine—Oedema—Metformin—type 2 diabetes mellitus	0.000182	0.00133	CcSEcCtD
Pethidine—Hypertension—Irbesartan—type 2 diabetes mellitus	0.000181	0.00133	CcSEcCtD
Pethidine—Flushing—Ramipril—type 2 diabetes mellitus	0.000181	0.00132	CcSEcCtD
Pethidine—Insomnia—Valsartan—type 2 diabetes mellitus	0.00018	0.00132	CcSEcCtD
Pethidine—Feeling abnormal—Gliclazide—type 2 diabetes mellitus	0.000179	0.00131	CcSEcCtD
Pethidine—Shock—Metformin—type 2 diabetes mellitus	0.000179	0.00131	CcSEcCtD
Pethidine—Insomnia—Orlistat—type 2 diabetes mellitus	0.000178	0.0013	CcSEcCtD
Pethidine—Anxiety—Irbesartan—type 2 diabetes mellitus	0.000178	0.0013	CcSEcCtD
Pethidine—Hypersensitivity—Glyburide—type 2 diabetes mellitus	0.000178	0.0013	CcSEcCtD
Pethidine—Vertigo—Losartan—type 2 diabetes mellitus	0.000177	0.0013	CcSEcCtD
Pethidine—Somnolence—Valsartan—type 2 diabetes mellitus	0.000177	0.0013	CcSEcCtD
