nodes	percent_of_prediction	percent_of_DWPC	metapath
Mycophenolic acid—psoriasis—atopic dermatitis	0.776	1	CtDrD
Mycophenolic acid—IMPDH2—Purine ribonucleoside monophosphate biosynthesis—ADSL—atopic dermatitis	0.00951	0.238	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Purine ribonucleoside monophosphate biosynthesis—ADSL—atopic dermatitis	0.00776	0.194	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Nucleotide Metabolism—ADSL—atopic dermatitis	0.00501	0.125	CbGpPWpGaD
Mycophenolic acid—IMPDH2—Purine metabolism—ADSL—atopic dermatitis	0.00395	0.0989	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Purine metabolism—ADSL—atopic dermatitis	0.00322	0.0806	CbGpPWpGaD
Mycophenolic acid—IMPDH2—Nucleotide metabolism—ADSL—atopic dermatitis	0.00199	0.0497	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Nucleotide metabolism—ADSL—atopic dermatitis	0.00162	0.0405	CbGpPWpGaD
Mycophenolic acid—IMPDH2—Levonorgestrel—Hydrocortisone—atopic dermatitis	0.000921	1	CbGdCrCtD
Mycophenolic acid—UGT1A7—Aryl Hydrocarbon Receptor Pathway—IFNG—atopic dermatitis	0.00062	0.0155	CbGpPWpGaD
Mycophenolic acid—UGT1A7—Aryl Hydrocarbon Receptor Pathway—IL1B—atopic dermatitis	0.000553	0.0138	CbGpPWpGaD
Mycophenolic acid—UGT1A7—Aryl Hydrocarbon Receptor Pathway—IL2—atopic dermatitis	0.000551	0.0138	CbGpPWpGaD
Mycophenolic acid—UGT1A7—Aryl Hydrocarbon Receptor Pathway—TNF—atopic dermatitis	0.000401	0.01	CbGpPWpGaD
Mycophenolic acid—UGT1A9—PPAR Alpha Pathway—PPARA—atopic dermatitis	0.000363	0.00909	CbGpPWpGaD
Mycophenolic acid—UGT1A6—Aryl Hydrocarbon Receptor Pathway—IFNG—atopic dermatitis	0.000352	0.0088	CbGpPWpGaD
Mycophenolic acid—UGT1A6—Aryl Hydrocarbon Receptor Pathway—IL1B—atopic dermatitis	0.000314	0.00785	CbGpPWpGaD
Mycophenolic acid—UGT1A6—Aryl Hydrocarbon Receptor Pathway—IL2—atopic dermatitis	0.000312	0.00782	CbGpPWpGaD
Mycophenolic acid—UGT1A6—Aryl Hydrocarbon Receptor Pathway—TNF—atopic dermatitis	0.000228	0.0057	CbGpPWpGaD
Mycophenolic acid—IMPDH2—Metabolism—GLB1—atopic dermatitis	0.000188	0.00471	CbGpPWpGaD
Mycophenolic acid—IMPDH2—Metabolism—ADSL—atopic dermatitis	0.00018	0.00452	CbGpPWpGaD
Mycophenolic acid—UGT1A7—Metabolism—GLB1—atopic dermatitis	0.000168	0.0042	CbGpPWpGaD
Mycophenolic acid—UGT1A7—Metabolism—ADSL—atopic dermatitis	0.000161	0.00402	CbGpPWpGaD
Mycophenolic acid—UGT1A1—Aryl Hydrocarbon Receptor Pathway—IFNG—atopic dermatitis	0.000156	0.0039	CbGpPWpGaD
Mycophenolic acid—UGT1A9—Aryl Hydrocarbon Receptor Pathway—IFNG—atopic dermatitis	0.000156	0.0039	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Metabolism—GLB1—atopic dermatitis	0.000153	0.00384	CbGpPWpGaD
Mycophenolic acid—IMPDH1—Metabolism—ADSL—atopic dermatitis	0.000147	0.00368	CbGpPWpGaD
