nodes	percent_of_prediction	percent_of_DWPC	metapath
Ridogrel—TBXAS1—forebrain—autistic disorder	0.0237	0.284	CbGeAlD
Ridogrel—Niflumic Acid—PLA2G4A—autistic disorder	0.0235	0.578	CrCbGaD
Ridogrel—TBXAS1—head—autistic disorder	0.0136	0.162	CbGeAlD
Ridogrel—TBXAS1—nervous system—autistic disorder	0.0129	0.154	CbGeAlD
Ridogrel—TBXAS1—central nervous system—autistic disorder	0.0124	0.148	CbGeAlD
Ridogrel—Fluvoxamine—SLC6A4—autistic disorder	0.0123	0.302	CrCbGaD
Ridogrel—TBXA2R—brain—autistic disorder	0.0112	0.134	CbGeAlD
Ridogrel—TBXAS1—brain—autistic disorder	0.00983	0.118	CbGeAlD
Ridogrel—TBXA2R—Thromboxane A2 receptor signaling—EGF—autistic disorder	0.00726	0.00829	CbGpPWpGaD
Ridogrel—TBXA2R—Gastrin-CREB signalling pathway via PKC and MAPK—AVPR1A—autistic disorder	0.00707	0.00807	CbGpPWpGaD
Ridogrel—TBXA2R—Gastrin-CREB signalling pathway via PKC and MAPK—GRM5—autistic disorder	0.00683	0.0078	CbGpPWpGaD
Ridogrel—TBXAS1—Phase 1 - Functionalization of compounds—POMC—autistic disorder	0.00663	0.00757	CbGpPWpGaD
Ridogrel—TBXA2R—Gastrin-CREB signalling pathway via PKC and MAPK—OXTR—autistic disorder	0.00661	0.00755	CbGpPWpGaD
Ridogrel—TBXA2R—GPCR ligand binding—HTR5A—autistic disorder	0.00643	0.00734	CbGpPWpGaD
Ridogrel—TBXA2R—Class A/1 (Rhodopsin-like receptors)—HTR1D—autistic disorder	0.0064	0.0073	CbGpPWpGaD
Ridogrel—TBXA2R—GPCRs, Class A Rhodopsin-like—AVPR1A—autistic disorder	0.00611	0.00698	CbGpPWpGaD
Ridogrel—TBXAS1—Biological oxidations—CYP19A1—autistic disorder	0.00586	0.00669	CbGpPWpGaD
Ridogrel—TBXA2R—G alpha (q) signalling events—OXT—autistic disorder	0.00585	0.00668	CbGpPWpGaD
Ridogrel—TBXA2R—GPCRs, Class A Rhodopsin-like—OXTR—autistic disorder	0.00572	0.00653	CbGpPWpGaD
Ridogrel—TBXA2R—Hemostasis—PECAM1—autistic disorder	0.00553	0.00632	CbGpPWpGaD
Ridogrel—TBXA2R—GPCR ligand binding—GABBR2—autistic disorder	0.00547	0.00624	CbGpPWpGaD
Ridogrel—TBXAS1—Biological oxidations—COMT—autistic disorder	0.00545	0.00622	CbGpPWpGaD
Ridogrel—TBXAS1—Biological oxidations—GSTP1—autistic disorder	0.00542	0.00619	CbGpPWpGaD
Ridogrel—TBXAS1—Biological oxidations—MAOA—autistic disorder	0.00541	0.00618	CbGpPWpGaD
Ridogrel—TBXA2R—Class A/1 (Rhodopsin-like receptors)—AVPR1A—autistic disorder	0.00524	0.00598	CbGpPWpGaD
Ridogrel—TBXA2R—Gastrin-CREB signalling pathway via PKC and MAPK—OXT—autistic disorder	0.00523	0.00598	CbGpPWpGaD
Ridogrel—TBXA2R—GPCRs, Class A Rhodopsin-like—OPRM1—autistic disorder	0.00509	0.00582	CbGpPWpGaD
Ridogrel—TBXA2R—Platelet activation, signaling and aggregation—TF—autistic disorder	0.00506	0.00578	CbGpPWpGaD
Ridogrel—TBXAS1—Biological oxidations—GSTM1—autistic disorder	0.00499	0.00569	CbGpPWpGaD
Ridogrel—Niflumic Acid—PTGS2—autistic disorder	0.0049	0.12	CrCbGaD
Ridogrel—TBXA2R—Class A/1 (Rhodopsin-like receptors)—OXTR—autistic disorder	0.0049	0.00559	CbGpPWpGaD
Ridogrel—TBXA2R—GPCR ligand binding—HTR1D—autistic disorder	0.00487	0.00556	CbGpPWpGaD
Ridogrel—TBXAS1—Metabolism of lipids and lipoproteins—NPAS2—autistic disorder	0.00472	0.00539	CbGpPWpGaD
Ridogrel—TBXAS1—Metabolism—ACADSB—autistic disorder	0.00466	0.00533	CbGpPWpGaD
Ridogrel—TBXAS1—Metabolism—INPP1—autistic disorder	0.00466	0.00533	CbGpPWpGaD
Ridogrel—TBXA2R—GPCR ligand binding—GRM8—autistic disorder	0.00453	0.00517	CbGpPWpGaD
Ridogrel—TBXA2R—GPCRs, Class A Rhodopsin-like—HTR1B—autistic disorder	0.00452	0.00516	CbGpPWpGaD
Ridogrel—TBXA2R—Platelet activation, signaling and aggregation—IL5—autistic disorder	0.00451	0.00515	CbGpPWpGaD
Ridogrel—TBXA2R—GPCR ligand binding—WNT2—autistic disorder	0.00439	0.00501	CbGpPWpGaD
Ridogrel—TBXA2R—Class A/1 (Rhodopsin-like receptors)—OPRM1—autistic disorder	0.00436	0.00498	CbGpPWpGaD
Ridogrel—TBXA2R—GPCRs, Class A Rhodopsin-like—DRD1—autistic disorder	0.00421	0.0048	CbGpPWpGaD
