nodes	percent_of_prediction	percent_of_DWPC	metapath
Nitrazepam—CYP2E1—prostate cancer	0.188	0.614	CbGaD
Nitrazepam—CYP3A4—prostate cancer	0.118	0.386	CbGaD
Nitrazepam—CYP2E1—Estrone—prostate cancer	0.0385	0.0948	CbGbCtD
Nitrazepam—CYP3A4—Estradiol valerate/Dienogest—prostate cancer	0.0371	0.0913	CbGbCtD
Nitrazepam—ABCB1—Estramustine—prostate cancer	0.0302	0.0744	CbGbCtD
Nitrazepam—CYP2E1—Mitoxantrone—prostate cancer	0.0229	0.0564	CbGbCtD
Nitrazepam—ABCB1—Cabazitaxel—prostate cancer	0.0199	0.049	CbGbCtD
Nitrazepam—CYP3A4—Bicalutamide—prostate cancer	0.0195	0.0479	CbGbCtD
Nitrazepam—ABCB1—Estrone—prostate cancer	0.0195	0.0479	CbGbCtD
Nitrazepam—CYP3A4—Estramustine—prostate cancer	0.0181	0.0446	CbGbCtD
Nitrazepam—ABCB1—Ethinyl Estradiol—prostate cancer	0.0174	0.0427	CbGbCtD
Nitrazepam—CYP3A4—Abiraterone—prostate cancer	0.0161	0.0397	CbGbCtD
Nitrazepam—CYP3A4—Flutamide—prostate cancer	0.0161	0.0397	CbGbCtD
Nitrazepam—CYP2E1—Etoposide—prostate cancer	0.0144	0.0355	CbGbCtD
Nitrazepam—ABCB1—Conjugated Estrogens—prostate cancer	0.0127	0.0314	CbGbCtD
Nitrazepam—CYP3A4—Cabazitaxel—prostate cancer	0.0119	0.0294	CbGbCtD
Nitrazepam—CYP3A4—Estrone—prostate cancer	0.0117	0.0287	CbGbCtD
Nitrazepam—ABCB1—Mitoxantrone—prostate cancer	0.0116	0.0285	CbGbCtD
Nitrazepam—ABCB1—Estradiol—prostate cancer	0.0112	0.0275	CbGbCtD
Nitrazepam—CYP3A4—Ethinyl Estradiol—prostate cancer	0.0104	0.0256	CbGbCtD
Nitrazepam—ABCB1—Prednisone—prostate cancer	0.00962	0.0237	CbGbCtD
Nitrazepam—CYP3A4—Conjugated Estrogens—prostate cancer	0.00764	0.0188	CbGbCtD
Nitrazepam—ABCB1—Etoposide—prostate cancer	0.00731	0.018	CbGbCtD
Nitrazepam—CYP3A4—Mitoxantrone—prostate cancer	0.00694	0.0171	CbGbCtD
Nitrazepam—CYP3A4—Estradiol—prostate cancer	0.0067	0.0165	CbGbCtD
Nitrazepam—ABCB1—Docetaxel—prostate cancer	0.00668	0.0164	CbGbCtD
