nodes	percent_of_prediction	percent_of_DWPC	metapath
Reserpine—SLC22A2—nephron—IgA glomerulonephritis	0.11	0.396	CbGeAlD
Reserpine—SLC22A2—nephron tubule—IgA glomerulonephritis	0.0237	0.0855	CbGeAlD
Reserpine—SLC22A2—kidney—IgA glomerulonephritis	0.0208	0.0752	CbGeAlD
Reserpine—SLC22A2—cortex of kidney—IgA glomerulonephritis	0.0203	0.0732	CbGeAlD
Reserpine—Rescinnamine—ACE—IgA glomerulonephritis	0.0178	1	CrCbGaD
Reserpine—ABCC2—nephron tubule—IgA glomerulonephritis	0.015	0.0542	CbGeAlD
Reserpine—SLC22A1—kidney—IgA glomerulonephritis	0.0147	0.0531	CbGeAlD
Reserpine—ABCC2—kidney—IgA glomerulonephritis	0.0132	0.0476	CbGeAlD
Reserpine—ABCC2—cortex of kidney—IgA glomerulonephritis	0.0128	0.0464	CbGeAlD
Reserpine—CYP3A5—nephron tubule—IgA glomerulonephritis	0.0102	0.0367	CbGeAlD
Reserpine—CYP3A5—kidney—IgA glomerulonephritis	0.00893	0.0322	CbGeAlD
Reserpine—CYP3A5—cortex of kidney—IgA glomerulonephritis	0.00869	0.0314	CbGeAlD
Reserpine—ABCB1—nephron tubule—IgA glomerulonephritis	0.0054	0.0195	CbGeAlD
Reserpine—ABCB1—kidney—IgA glomerulonephritis	0.00474	0.0171	CbGeAlD
Reserpine—ABCB1—cortex of kidney—IgA glomerulonephritis	0.00462	0.0167	CbGeAlD
Reserpine—ABCB1—lymphoid tissue—IgA glomerulonephritis	0.00407	0.0147	CbGeAlD
Reserpine—SLC22A1—Metabolism—ATP5F1—IgA glomerulonephritis	0.000397	0.000562	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—KYNU—IgA glomerulonephritis	0.000397	0.000562	CbGpPWpGaD
Reserpine—SLC22A2—Transmembrane transport of small molecules—CP—IgA glomerulonephritis	0.000395	0.000561	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—HPSE—IgA glomerulonephritis	0.000394	0.000559	CbGpPWpGaD
Reserpine—SLC18A2—Transmission across Chemical Synapses—MAPK1—IgA glomerulonephritis	0.000392	0.000556	CbGpPWpGaD
Reserpine—SLC22A2—Transmembrane transport of small molecules—GNG12—IgA glomerulonephritis	0.000383	0.000543	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—ELOVL6—IgA glomerulonephritis	0.000379	0.000538	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—IMPA1—IgA glomerulonephritis	0.000379	0.000538	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—DEGS1—IgA glomerulonephritis	0.000379	0.000538	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—UCP2—IgA glomerulonephritis	0.000374	0.00053	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—HMMR—IgA glomerulonephritis	0.000374	0.00053	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—CHST2—IgA glomerulonephritis	0.000373	0.000529	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—MAT2A—IgA glomerulonephritis	0.000373	0.000529	CbGpPWpGaD
Reserpine—SLC22A1—Transmembrane transport of small molecules—CP—IgA glomerulonephritis	0.000369	0.000523	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—MINPP1—IgA glomerulonephritis	0.000362	0.000514	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—NNT—IgA glomerulonephritis	0.000362	0.000514	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—BCAT1—IgA glomerulonephritis	0.000362	0.000514	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—AZIN1—IgA glomerulonephritis	0.000362	0.000514	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—RPE—IgA glomerulonephritis	0.000362	0.000514	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—ACSL1—IgA glomerulonephritis	0.000362	0.000513	CbGpPWpGaD
Reserpine—ABCB1—Allograft Rejection—IFNG—IgA glomerulonephritis	0.000359	0.000509	CbGpPWpGaD
Reserpine—SLC22A1—Transmembrane transport of small molecules—GNG12—IgA glomerulonephritis	0.000357	0.000506	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—IMPA1—IgA glomerulonephritis	0.000354	0.000501	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—ELOVL6—IgA glomerulonephritis	0.000354	0.000501	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—DEGS1—IgA glomerulonephritis	0.000354	0.000501	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—GGCT—IgA glomerulonephritis	0.000347	0.000492	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—GLIPR1—IgA glomerulonephritis	0.000347	0.000492	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—UGCG—IgA glomerulonephritis	0.000347	0.000492	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—MARCKS—IgA glomerulonephritis	0.000347	0.000492	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—TBL1XR1—IgA glomerulonephritis	0.000342	0.000484	CbGpPWpGaD
