nodes	percent_of_prediction	percent_of_DWPC	metapath
Dimenhydrinate—Cloperastine—Raloxifene—breast cancer	0.228	0.286	CrCrCtD
Dimenhydrinate—Bromodiphenhydramine—Toremifene—breast cancer	0.141	0.177	CrCrCtD
Dimenhydrinate—Orphenadrine—Toremifene—breast cancer	0.11	0.139	CrCrCtD
Dimenhydrinate—Diphenhydramine—Toremifene—breast cancer	0.0981	0.123	CrCrCtD
Dimenhydrinate—Bromodiphenhydramine—Tamoxifen—breast cancer	0.0883	0.111	CrCrCtD
Dimenhydrinate—Orphenadrine—Tamoxifen—breast cancer	0.0694	0.0871	CrCrCtD
Dimenhydrinate—Diphenhydramine—Tamoxifen—breast cancer	0.0616	0.0774	CrCrCtD
Dimenhydrinate—Orphenadrine—SCN10A—breast cancer	0.000237	0.323	CrCbGaD
Dimenhydrinate—Vomiting—Goserelin—breast cancer	0.000206	0.00103	CcSEcCtD
Dimenhydrinate—Paraesthesia—Fluorouracil—breast cancer	0.000205	0.00103	CcSEcCtD
Dimenhydrinate—Constipation—Mitoxantrone—breast cancer	0.000204	0.00102	CcSEcCtD
Dimenhydrinate—Constipation—Irinotecan—breast cancer	0.000204	0.00102	CcSEcCtD
Dimenhydrinate—Rash—Goserelin—breast cancer	0.000204	0.00102	CcSEcCtD
Dimenhydrinate—Dermatitis—Goserelin—breast cancer	0.000204	0.00102	CcSEcCtD
Dimenhydrinate—Somnolence—Fluorouracil—breast cancer	0.000203	0.00102	CcSEcCtD
Dimenhydrinate—Headache—Goserelin—breast cancer	0.000203	0.00101	CcSEcCtD
Dimenhydrinate—Decreased appetite—Gemcitabine—breast cancer	0.000202	0.00101	CcSEcCtD
Dimenhydrinate—Chills—Capecitabine—breast cancer	0.000202	0.00101	CcSEcCtD
Dimenhydrinate—Dyspepsia—Fluorouracil—breast cancer	0.000201	0.00101	CcSEcCtD
Dimenhydrinate—Nausea—Tamoxifen—breast cancer	0.000201	0.00101	CcSEcCtD
Dimenhydrinate—Fatigue—Gemcitabine—breast cancer	0.000201	0.001	CcSEcCtD
Dimenhydrinate—Constipation—Gemcitabine—breast cancer	0.000199	0.000997	CcSEcCtD
Dimenhydrinate—Decreased appetite—Fluorouracil—breast cancer	0.000199	0.000996	CcSEcCtD
Dimenhydrinate—Dry mouth—Paclitaxel—breast cancer	0.000199	0.000995	CcSEcCtD
Dimenhydrinate—Asthenia—Thiotepa—breast cancer	0.000198	0.000994	CcSEcCtD
Dimenhydrinate—Diarrhoea—Vinorelbine—breast cancer	0.000198	0.000992	CcSEcCtD
Dimenhydrinate—Nausea—Melphalan—breast cancer	0.000197	0.000986	CcSEcCtD
Dimenhydrinate—Feeling abnormal—Irinotecan—breast cancer	0.000197	0.000986	CcSEcCtD
Dimenhydrinate—Feeling abnormal—Mitoxantrone—breast cancer	0.000197	0.000986	CcSEcCtD
Dimenhydrinate—Confusional state—Paclitaxel—breast cancer	0.000196	0.000984	CcSEcCtD
Dimenhydrinate—Dysuria—Methotrexate—breast cancer	0.000196	0.00098	CcSEcCtD
Dimenhydrinate—Nausea—Goserelin—breast cancer	0.000192	0.000962	CcSEcCtD
Dimenhydrinate—Feeling abnormal—Gemcitabine—breast cancer	0.000192	0.00096	CcSEcCtD
Dimenhydrinate—Dizziness—Vinorelbine—breast cancer	0.000191	0.000959	CcSEcCtD
Dimenhydrinate—Photosensitivity reaction—Methotrexate—breast cancer	0.000191	0.000957	CcSEcCtD
