nodes	percent_of_prediction	percent_of_DWPC	metapath
Carbidopa—Parkinson's disease—Bromocriptine—type 2 diabetes mellitus	0.677	1	CpDpCtD
Carbidopa—DDC—Serotonin and melatonin biosynthesis—AANAT—type 2 diabetes mellitus	0.0184	0.191	CbGpPWpGaD
Carbidopa—DDC—Biogenic Amine Synthesis—AANAT—type 2 diabetes mellitus	0.00764	0.0791	CbGpPWpGaD
Carbidopa—DDC—Amine-derived hormones—AANAT—type 2 diabetes mellitus	0.00726	0.0751	CbGpPWpGaD
Carbidopa—DDC—Dopaminergic Neurogenesis—NKX6-1—type 2 diabetes mellitus	0.00502	0.052	CbGpPWpGaD
Carbidopa—DDC—nerve—type 2 diabetes mellitus	0.00468	0.438	CbGeAlD
Carbidopa—DDC—Dopaminergic Neurogenesis—NEUROD1—type 2 diabetes mellitus	0.00467	0.0483	CbGpPWpGaD
Carbidopa—DDC—Biogenic Amine Synthesis—GAD2—type 2 diabetes mellitus	0.00439	0.0454	CbGpPWpGaD
Carbidopa—DDC—Tryptophan metabolism—AANAT—type 2 diabetes mellitus	0.00312	0.0323	CbGpPWpGaD
Carbidopa—DDC—Dopamine metabolism—SOD1—type 2 diabetes mellitus	0.00245	0.0254	CbGpPWpGaD
Carbidopa—DDC—Dopamine metabolism—PPP2CA—type 2 diabetes mellitus	0.00202	0.021	CbGpPWpGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—PHOX2A—type 2 diabetes mellitus	0.00194	0.0201	CbGpPWpGaD
Carbidopa—DDC—nephron tubule—type 2 diabetes mellitus	0.00182	0.171	CbGeAlD
Carbidopa—DDC—kidney—type 2 diabetes mellitus	0.0016	0.15	CbGeAlD
Carbidopa—DDC—cortex of kidney—type 2 diabetes mellitus	0.00156	0.146	CbGeAlD
Carbidopa—DDC—Circadian rythm related genes—CARTPT—type 2 diabetes mellitus	0.00134	0.0139	CbGpPWpGaD
Carbidopa—Isoprenaline—PIK3R1—type 2 diabetes mellitus	0.00129	0.235	CrCbGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—NEUROD1—type 2 diabetes mellitus	0.00125	0.0129	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—AGRP—type 2 diabetes mellitus	0.0012	0.0124	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—PROX1—type 2 diabetes mellitus	0.0012	0.0124	CbGpPWpGaD
Carbidopa—DDC—Amino acid and derivative metabolism—BHMT—type 2 diabetes mellitus	0.00116	0.012	CbGpPWpGaD
Carbidopa—DDC—Tryptophan metabolism—CYP2E1—type 2 diabetes mellitus	0.00106	0.0109	CbGpPWpGaD
Carbidopa—DDC—Tryptophan metabolism—CYP1A2—type 2 diabetes mellitus	0.00104	0.0108	CbGpPWpGaD
Carbidopa—DDC—Tryptophan metabolism—CYP3A4—type 2 diabetes mellitus	0.00102	0.0105	CbGpPWpGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—KCNQ1—type 2 diabetes mellitus	0.00102	0.0105	CbGpPWpGaD
Carbidopa—DDC—liver—type 2 diabetes mellitus	0.00101	0.0949	CbGeAlD
Carbidopa—DDC—Amino acid and derivative metabolism—AANAT—type 2 diabetes mellitus	0.00101	0.0105	CbGpPWpGaD
Carbidopa—DDC—Amino acid and derivative metabolism—CDO1—type 2 diabetes mellitus	0.000958	0.00992	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—AANAT—type 2 diabetes mellitus	0.000958	0.00992	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—PTGDS—type 2 diabetes mellitus	0.000958	0.00992	CbGpPWpGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—G6PC—type 2 diabetes mellitus	0.000946	0.0098	CbGpPWpGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—ECE1—type 2 diabetes mellitus	0.000946	0.0098	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—MTNR1A—type 2 diabetes mellitus	0.000867	0.00897	CbGpPWpGaD
Carbidopa—DDC—Tryptophan metabolism—CAT—type 2 diabetes mellitus	0.000847	0.00877	CbGpPWpGaD
Carbidopa—DDC—Amino acid and derivative metabolism—MAT1A—type 2 diabetes mellitus	0.000844	0.00874	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—PAX4—type 2 diabetes mellitus	0.000772	0.008	CbGpPWpGaD
Carbidopa—DDC—Amino acid and derivative metabolism—CBS—type 2 diabetes mellitus	0.000664	0.00688	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—STAR—type 2 diabetes mellitus	0.000657	0.0068	CbGpPWpGaD
Carbidopa—DDC—Circadian rythm related genes—HNF1B—type 2 diabetes mellitus	0.000535	0.00554	CbGpPWpGaD
Carbidopa—Droxidopa—ADRB3—type 2 diabetes mellitus	0.000511	0.0932	CrCbGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—CPT1A—type 2 diabetes mellitus	0.000497	0.00515	CbGpPWpGaD
Carbidopa—DDC—Parkinsons Disease Pathway—CASP3—type 2 diabetes mellitus	0.000488	0.00505	CbGpPWpGaD
Carbidopa—DDC—SIDS Susceptibility Pathways—GCK—type 2 diabetes mellitus	0.000484	0.00502	CbGpPWpGaD
Carbidopa—Isoprenaline—ADRB3—type 2 diabetes mellitus	0.000465	0.0847	CrCbGaD
Carbidopa—DDC—Circadian rythm related genes—PRKAA1—type 2 diabetes mellitus	0.000459	0.00476	CbGpPWpGaD
Carbidopa—DDC—Dopaminergic Neurogenesis—TGFB1—type 2 diabetes mellitus	0.000459	0.00475	CbGpPWpGaD
